Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level,Icon,Audio Link,Real Audio
Agan,Worn out,ah-gahn,Agan ang kanyang sapatos dahil sa ulan.,His shoes are worn out because of the rain.,,1,🟢,https://example.com/audio/tagalog/agan.mp3,./tagalog_audio/agan.mp3
Agarang,Immediate,ah-gah-rahng,Agarang aksyon ang kailangan sa sitwasyong ito.,Immediate action is needed in this situation.,,3,🟠,https://example.com/audio/tagalog/agarang.mp3,./tagalog_audio/agarang.mp3
Agi,Young,ah-gee,Agi ang bata sa kanyang ina.,The child resembles his mother.,,1,🟢,https://example.com/audio/tagalog/agi.mp3,./tagalog_audio/agi.mp3
Agimat,Amulet,Ah-gee-mat,Suot niya ang agimat.,He is wearing an amulet.,,3,🟠,https://example.com/audio/tagalog/agimat.mp3,./tagalog_audio/agimat.mp3
Agos,Current (water),ah-gos,Malakas ang agos ng ilog ngayon.,The river's current is strong today.,,1,🟢,https://example.com/audio/tagalog/agos.mp3,./tagalog_audio/agos.mp3
Agosto,August,Ah-gos-toh,Nasa Agosto ang pista.,The fiesta is in August.,,3,🟠,https://example.com/audio/tagalog/agosto.mp3,./tagalog_audio/agosto.mp3
Agri,Agriculture,ah-gree,Agri sector ang pinagkakaabalahan niya.,He is focused on the agriculture sector.,,1,🟢,https://example.com/audio/tagalog/agri.mp3,./tagalog_audio/agri.mp3
Aguho,Typhoon,ah-goo-ho,Matindi ang aguho noong bagyo.,The landslide was severe during the storm.,,3,🟠,https://example.com/audio/tagalog/aguho.mp3,./tagalog_audio/aguho.mp3
Aguinaldo,Christmas gift,ah-gwee-nahl-do,Ang aguinaldo niya ay malaking halaga.,His Christmas bonus is a large amount.,,3,🟠,https://example.com/audio/tagalog/aguinaldo.mp3,./tagalog_audio/aguinaldo.mp3
Aha,I see,ah-ha,Aha! Alam ko na ang sagot!,Aha! I know the answer now!,,1,🟢,https://example.com/audio/tagalog/aha.mp3,./tagalog_audio/aha.mp3
Ahas,Snake,Ah-has,Nasa puno ang ahas.,The snake is in the tree.,,1,🟢,https://example.com/audio/tagalog/ahas.mp3,./tagalog_audio/ahas.mp3
Ahente,Agent,Ah-hen-teh,Ahente siya ng kompanya.,He's an agent of the company.,,4,🔵,https://example.com/audio/tagalog/ahente.mp3,./tagalog_audio/ahente.mp3
Ahon,To rise,ah-hon,Kailangan kong umahon mula sa hirap.,I need to rise from hardship.,,1,🟢,https://example.com/audio/tagalog/ahon.mp3,./tagalog_audio/ahon.mp3
Akala,Assumption,ah-kah-lah,Mali ang akala ko sa kanya.,I was wrong in my assumption about him.,,5,🟣,https://example.com/audio/tagalog/akala.mp3,./tagalog_audio/akala.mp3
Akan,I will,ah-kahn,Akan ang susunod na proyekto.,I will handle the next project.,,1,🟢,https://example.com/audio/tagalog/akan.mp3,./tagalog_audio/akan.mp3
Akin,Mine,Ah-kin,Akin ang bag na ito.,This bag is mine.,1.0,1,🟢,https://example.com/audio/tagalog/akin.mp3,./tagalog_audio/akin.mp3
Aking,My,ah-king,Aking pamilya ang inspirasyon ko.,My family is my inspiration.,,3,🟠,https://example.com/audio/tagalog/aking.mp3,./tagalog_audio/aking.mp3
Aklat,Book,ah-klat,Nagbasa siya ng aklat buong gabi.,He read a book all night.,,3,🟠,https://example.com/audio/tagalog/aklat.mp3,./tagalog_audio/aklat.mp3
Ako,I,Ah-koh,Ako ang magbabayad.,I will pay.,1.0,1,🟢,https://example.com/audio/tagalog/ako.mp3,./tagalog_audio/ako.mp3
Aksidente,Accident,ahk-see-den-te,Nakasama siya sa isang aksidente kahapon.,He was involved in an accident yesterday.,,4,🔵,https://example.com/audio/tagalog/aksidente.mp3,./tagalog_audio/aksidente.mp3
Aksyon,Action,ahk-syon,Aksyon ang kailangan upang malutas ito.,Action is needed to solve this.,,3,🟠,https://example.com/audio/tagalog/aksyon.mp3,./tagalog_audio/aksyon.mp3
Akyat,Climb,Ahk-yat,Akyat ka sa puno.,Climb the tree.,,4,🔵,https://example.com/audio/tagalog/akyat.mp3,./tagalog_audio/akyat.mp3
Ala,None,ah-lah,Ala akong dala ngayong umaga.,I have nothing with me this morning.,,1,🟢,https://example.com/audio/tagalog/ala.mp3,./tagalog_audio/ala.mp3
Alaala,Memory,ah-lah-ah-lah,Ang alaala ng nakaraan ay mahirap kalimutan.,The memory of the past is hard to forget.,,5,🟣,https://example.com/audio/tagalog/alaala.mp3,./tagalog_audio/alaala.mp3
Alaga,Pet / Care,Ah-lah-gah,Alaga ko ang pusa.,The cat is my pet.,,3,🟠,https://example.com/audio/tagalog/alaga.mp3,./tagalog_audio/alaga.mp3
Alak,Alcohol,Ah-lak,Huwag kang uminom ng alak.,Don't drink alcohol.,,1,🟢,https://example.com/audio/tagalog/alak.mp3,./tagalog_audio/alak.mp3
Alala,Memory,ah-lah-lah,May alala pa rin siya tungkol sa nakaraan.,He still remembers the past.,,5,🟣,https://example.com/audio/tagalog/alala.mp3,./tagalog_audio/alala.mp3
Alala (1),Worry,Ah-lah-lah,Huwag kang mag-alala.,Don't worry.,,3,🟠,https://example.com/audio/tagalog/alala_(1).mp3,./tagalog_audio/alala_(1).mp3
Alam,Know,Ah-lam,Alam ko ang sagot.,I know the answer.,,1,🟢,https://example.com/audio/tagalog/alam.mp3,./tagalog_audio/alam.mp3
Alam (2),Know,ah-lahm,Alam ko ang tamang sagot.,I know the correct answer.,,3,🟠,https://example.com/audio/tagalog/alam_(2).mp3,./tagalog_audio/alam_(2).mp3
Alamin,To find out,ah-lah-min,Alamin natin kung kailan darating ang bus.,Let's find out when the bus will arrive.,,3,🟠,https://example.com/audio/tagalog/alamin.mp3,./tagalog_audio/alamin.mp3
Alang-alang,For the sake of,ah-lahng-ah-lahng,"Alang-alang sa pamilya ko, magsisikap ako.","For the sake of my family, I will work hard.",,3,🟠,https://example.com/audio/tagalog/alang-alang.mp3,./tagalog_audio/alang-alang.mp3
Alas,Time (o'clock),Ah-las,Alas dose na.,It's twelve o'clock.,,1,🟢,https://example.com/audio/tagalog/alas.mp3,./tagalog_audio/alas.mp3
Alat,Saltiness,ah-lat,Ang pagkain na may alat ay masarap.,Food with saltiness is delicious.,,1,🟢,https://example.com/audio/tagalog/alat.mp3,./tagalog_audio/alat.mp3
Alay,Offer,ah-lay,Nag-alay siya ng dasal sa simbahan.,He offered a prayer at the church.,,1,🟢,https://example.com/audio/tagalog/alay.mp3,./tagalog_audio/alay.mp3
Albayalde,White lead,Al-bah-yal-deh,Gamit nila ang albayalde.,They use white lead.,,3,🟠,https://example.com/audio/tagalog/albayalde.mp3,./tagalog_audio/albayalde.mp3
Albularyo,Healer,Al-boo-lar-yoh,Nasa nayon ang albularyo.,The healer is in the village.,,3,🟠,https://example.com/audio/tagalog/albularyo.mp3,./tagalog_audio/albularyo.mp3
Aldo,Day,ahl-do,Aldo ngayon ng pista sa baryo.,Today is the village festival day.,,1,🟢,https://example.com/audio/tagalog/aldo.mp3,./tagalog_audio/aldo.mp3
Ale,Lady (informal),Ah-leh,Mabait ang ale na iyon.,That lady is kind.,,1,🟢,https://example.com/audio/tagalog/ale.mp3,./tagalog_audio/ale.mp3
Alibyo,Excuse,ah-lee-byo,Ang alibyo niya sa sakit ay gamot.,His relief from pain is medicine.,,3,🟠,https://example.com/audio/tagalog/alibyo.mp3,./tagalog_audio/alibyo.mp3
Alim,Inside,ah-leem,Alim ang kanyang pandinig sa malalakas na tunog.,His hearing is sensitive to loud sounds.,,1,🟢,https://example.com/audio/tagalog/alim.mp3,./tagalog_audio/alim.mp3
Alimango,Crab,ah-lee-mah-ngo,Alimango ang paborito kong seafood.,Crab is my favorite seafood.,,3,🟠,https://example.com/audio/tagalog/alimango.mp3,./tagalog_audio/alimango.mp3
Alin,Which,ah-lin,Alin sa mga ito ang gusto mo?,Which one do you like?,,1,🟢,https://example.com/audio/tagalog/alin.mp3,./tagalog_audio/alin.mp3
Alindog,Charm,Ah-lin-dog,May alindog siya.,She has charm.,,3,🟠,https://example.com/audio/tagalog/alindog.mp3,./tagalog_audio/alindog.mp3
Aling,Which,ah-ling,Aling tindahan ang nagbebenta ng murang bigas?,Which store sells cheap rice?,,3,🟠,https://example.com/audio/tagalog/aling.mp3,./tagalog_audio/aling.mp3
Alingawngaw,Echo,ah-ling-ahng-wahng,Narinig ko ang alingawngaw sa kuweba.,I heard the echo in the cave.,,3,🟠,https://example.com/audio/tagalog/alingawngaw.mp3,./tagalog_audio/alingawngaw.mp3
Alipin,Slave,ah-lee-peen,Alipin sila noong unang panahon.,They were slaves in the old times.,,3,🟠,https://example.com/audio/tagalog/alipin.mp3,./tagalog_audio/alipin.mp3
Alis,Leave,Ah-lis,Alis na ako.,I'm leaving now.,1.0,1,🟢,https://example.com/audio/tagalog/alis.mp3,./tagalog_audio/alis.mp3
Alit,Dust,ah-lit,Alit ang dumi sa kanyang damit.,There is dust on his clothes.,,1,🟢,https://example.com/audio/tagalog/alit.mp3,./tagalog_audio/alit.mp3
Alitan,Quarrel,ah-lee-tan,May matinding alitan sa pagitan ng magkaibigan.,There is a serious conflict between the friends.,,3,🟠,https://example.com/audio/tagalog/alitan.mp3,./tagalog_audio/alitan.mp3
Alitaptap,Firefly,Ah-lee-tap-tap,Nasa gubat ang alitaptap.,The firefly is in the forest.,,3,🟠,https://example.com/audio/tagalog/alitaptap.mp3,./tagalog_audio/alitaptap.mp3
Alituntunin,Rule/Regulation,ah-lee-toon-too-nin,Alituntunin sa paaralan ang dapat sundin.,School rules must be followed.,,3,🟠,https://example.com/audio/tagalog/alituntunin.mp3,./tagalog_audio/alituntunin.mp3
Alkohol,Alcohol (variant),Al-koh-hol,Nasa mesa ang alkohol.,The alcohol is on the table.,,3,🟠,https://example.com/audio/tagalog/alkohol.mp3,./tagalog_audio/alkohol.mp3
Almusal,Breakfast (variant),Al-moo-sal,Kain tayo ng almusal.,Let's eat breakfast.,,3,🟠,https://example.com/audio/tagalog/almusal.mp3,./tagalog_audio/almusal.mp3
Alog,Shake,Ah-log,Alog mo ang bote.,Shake the bottle.,,1,🟢,https://example.com/audio/tagalog/alog.mp3,./tagalog_audio/alog.mp3
Alok,Offer,ah-lok,Nagbigay siya ng alok sa akin.,He made an offer to me.,,1,🟢,https://example.com/audio/tagalog/alok.mp3,./tagalog_audio/alok.mp3
Alon,Wave,ah-lon,Malakas ang alon sa dagat ngayon.,The waves are strong in the sea today.,,1,🟢,https://example.com/audio/tagalog/alon.mp3,./tagalog_audio/alon.mp3
Alpabeto,Alphabet,Al-pah-beh-toh,Aralin mo ang alpabeto.,Study the alphabet.,,3,🟠,https://example.com/audio/tagalog/alpabeto.mp3,./tagalog_audio/alpabeto.mp3
Alpombra,Carpet,Al-pom-brah,Nasa sala ang alpombra.,The carpet is in the living room.,,3,🟠,https://example.com/audio/tagalog/alpombra.mp3,./tagalog_audio/alpombra.mp3
Alta,High (social class),Al-tah,Alta ang pamilya niya.,Her family is high-class.,,1,🟢,https://example.com/audio/tagalog/alta.mp3,./tagalog_audio/alta.mp3
Altapresyon,Hypertension,Al-tah-preh-syon,May altapresyon si lolo.,Grandpa has hypertension.,,3,🟠,https://example.com/audio/tagalog/altapresyon.mp3,./tagalog_audio/altapresyon.mp3
Altar,Altar,Al-tar,Nasa simbahan ang altar.,The altar is in the church.,,3,🟠,https://example.com/audio/tagalog/altar.mp3,./tagalog_audio/altar.mp3
Aluminyo,Aluminum,Ah-loo-min-yoh,Gawa sa aluminyo ang lata.,The can is made of aluminum.,,3,🟠,https://example.com/audio/tagalog/aluminyo.mp3,./tagalog_audio/aluminyo.mp3
Ama,Father,ah-mah,Ang ama ko ay isang mabuting tao.,My father is a good person.,,1,🟢,https://example.com/audio/tagalog/ama.mp3,./tagalog_audio/ama.mp3
Ambon,Drizzle,Am-bon,Umambon kanina.,It drizzled earlier.,,3,🟠,https://example.com/audio/tagalog/ambon.mp3,./tagalog_audio/ambon.mp3
Ambulansya,Ambulance,Am-boo-lan-syah,Nandito ang ambulansya.,The ambulance is here.,1.0,3,🟠,https://example.com/audio/tagalog/ambulansya.mp3,./tagalog_audio/ambulansya.mp3
Ami,Friend,ah-mee,Si Ami ay mabait at matulungin.,Ami is kind and helpful.,,1,🟢,https://example.com/audio/tagalog/ami.mp3,./tagalog_audio/ami.mp3
Amiga,Friend (female),Ah-mee-gah,Amiga ko si Maria.,Maria is my friend.,,2,🟡,https://example.com/audio/tagalog/amiga.mp3,./tagalog_audio/amiga.mp3
Amigo,Friend (male),Ah-mee-goh,Amigo ko si Juan.,Juan is my friend.,,2,🟡,https://example.com/audio/tagalog/amigo.mp3,./tagalog_audio/amigo.mp3
Amin,Ours,ah-min,"Amin itong bahay, kaya dapat natin itong alagaan.","This house is ours, so we must take care of it.",,1,🟢,https://example.com/audio/tagalog/amin.mp3,./tagalog_audio/amin.mp3
Amo,Master / Boss,Ah-mo,Nasa opisina ang amo ko.,My boss is in the office.,,1,🟢,https://example.com/audio/tagalog/amo.mp3,./tagalog_audio/amo.mp3
Amoy,Smell,Ah-moi,Mabango ang amoy niya.,Her smell is nice.,,1,🟢,https://example.com/audio/tagalog/amoy.mp3,./tagalog_audio/amoy.mp3
Ampalaya,Bitter melon,Am-pah-lah-yah,Gusto ko ng ampalaya.,I like bitter melon.,,3,🟠,https://example.com/audio/tagalog/ampalaya.mp3,./tagalog_audio/ampalaya.mp3
Ampaw,Puffed rice,Am-pao,Nasa plato ang ampaw.,The puffed rice is on the plate.,,3,🟠,https://example.com/audio/tagalog/ampaw.mp3,./tagalog_audio/ampaw.mp3
Anak,Child,Ah-nak,Naglalaro ang anak ko.,My child is playing.,1.0,1,🟢,https://example.com/audio/tagalog/anak.mp3,./tagalog_audio/anak.mp3
Anay,Termite,Ah-nai,Nasa kahoy ang anay.,The termite is in the wood.,,1,🟢,https://example.com/audio/tagalog/anay.mp3,./tagalog_audio/anay.mp3
Andador,Walker (baby),An-dah-dor,Gamit niya ang andador.,He's using the walker.,,3,🟠,https://example.com/audio/tagalog/andador.mp3,./tagalog_audio/andador.mp3
Ang, The, ang, Ang araw ay sumisikat sa umaga., The sun rises in the morning.,,1,🟢,https://example.com/audio/tagalog/ang.mp3,./tagalog_audio/ang.mp3
Angat,Superior,ahng-aht,Angat ang kalidad ng kanyang trabaho.,The quality of his work is outstanding.,,3,🟠,https://example.com/audio/tagalog/angat.mp3,./tagalog_audio/angat.mp3
Angil,Growl,ahng-il,Narinig ko ang angil ng aso sa labas.,I heard the dog's growl outside.,,3,🟠,https://example.com/audio/tagalog/angil.mp3,./tagalog_audio/angil.mp3
Angkop,Appropriate,ahng-kop,Angkop ang kanyang suot sa okasyon.,His outfit is appropriate for the occasion.,,3,🟠,https://example.com/audio/tagalog/angkop.mp3,./tagalog_audio/angkop.mp3
Anim, Six, a-nim,,,1.0,1,🟢,https://example.com/audio/tagalog/anim.mp3,./tagalog_audio/anim.mp3
Animo,Spirit,ah-nee-mo,Ang animo niya ay parang isang matapang na mandirigma.,His spirit is like that of a brave warrior.,,3,🟠,https://example.com/audio/tagalog/animo.mp3,./tagalog_audio/animo.mp3
Anino,Shadow,ah-nee-no,May anino sa likod ng pinto.,There is a shadow behind the door.,,3,🟠,https://example.com/audio/tagalog/anino.mp3,./tagalog_audio/anino.mp3
Ano, What, a-no,,,1.0,1,🟢,https://example.com/audio/tagalog/ano.mp3,./tagalog_audio/ano.mp3
Anong, What, a-nong, Anong pangalan mo?, What is your name?,1.0,3,🟠,https://example.com/audio/tagalog/anong.mp3,./tagalog_audio/anong.mp3
Antas,Level,ahn-tas,Iba't ibang antas ng kaalaman ang natutunan ko.,I learned different levels of knowledge.,,3,🟠,https://example.com/audio/tagalog/antas.mp3,./tagalog_audio/antas.mp3
Apat,Four,ah-paht,Apat ang silya sa mesa.,There are four chairs at the table.,,1,🟢,https://example.com/audio/tagalog/apat.mp3,./tagalog_audio/apat.mp3
Apo,Grandchild,ah-poh,Mahal ko ang aking apo.,I love my grandchild.,,1,🟢,https://example.com/audio/tagalog/apo.mp3,./tagalog_audio/apo.mp3
Apon,Blessing,ah-pon,Ang apon ng kanyang buhay ay puno ng pagsubok.,The later part of his life is full of challenges.,,1,🟢,https://example.com/audio/tagalog/apon.mp3,./tagalog_audio/apon.mp3
Apos,Blessed,ah-pohs,Apos na ang kanyang kasikatan.,His fame has faded.,,1,🟢,https://example.com/audio/tagalog/apos.mp3,./tagalog_audio/apos.mp3
Arabe,Arab,ah-rah-be,Maraming Arabe sa bansang ito.,There are many Arabs in this country.,,3,🟠,https://example.com/audio/tagalog/arabe.mp3,./tagalog_audio/arabe.mp3
Aral,Lesson,ah-ral,Ang mabuting aral ay dapat isabuhay.,A good lesson should be applied in life.,,1,🟢,https://example.com/audio/tagalog/aral.mp3,./tagalog_audio/aral.mp3
Araw,Day,ah-rahw,Ang araw ay sumisikat tuwing umaga.,The sun rises every morning.,1.0,1,🟢,https://example.com/audio/tagalog/araw.mp3,./tagalog_audio/araw.mp3
Aring,To be,ah-ring,Ang aring lupa ay minana niya sa kanyang lolo.,The inherited land came from his grandfather.,,3,🟠,https://example.com/audio/tagalog/aring.mp3,./tagalog_audio/aring.mp3
Arko,Arc,ahr-ko,Maganda ang disenyo ng arko sa parke.,The arch design in the park is beautiful.,,1,🟢,https://example.com/audio/tagalog/arko.mp3,./tagalog_audio/arko.mp3
Arman,Weapon,ahr-mahn,Si Arman ay isang magaling na pintor.,Arman is a great painter.,,3,🟠,https://example.com/audio/tagalog/arman.mp3,./tagalog_audio/arman.mp3
Armas,Weapon,ahr-mas,Ang sundalo ay may dalang armas.,The soldier carries a weapon.,,3,🟠,https://example.com/audio/tagalog/armas.mp3,./tagalog_audio/armas.mp3
Arti,Action,ahr-tee,Ang kanyang arti sa pagtatanghal ay kahanga-hanga.,His artistry in the performance is impressive.,,1,🟢,https://example.com/audio/tagalog/arti.mp3,./tagalog_audio/arti.mp3
Asa,Hope,ah-sah,Asa ko na darating siya bukas.,I hope he arrives tomorrow.,,1,🟢,https://example.com/audio/tagalog/asa.mp3,./tagalog_audio/asa.mp3
Asal,Behavior,ah-sahl,Mabuti ang asal ng batang ito.,This child has good manners.,,1,🟢,https://example.com/audio/tagalog/asal.mp3,./tagalog_audio/asal.mp3
Asawa,Spouse,ah-sah-wah,Ang asawa niya ay isang doktor.,His spouse is a doctor.,,3,🟠,https://example.com/audio/tagalog/asawa.mp3,./tagalog_audio/asawa.mp3
Asenso,Progress,ah-sen-so,Ang kanyang negosyo ay patuloy na umaasenso.,His business continues to progress.,,3,🟠,https://example.com/audio/tagalog/asenso.mp3,./tagalog_audio/asenso.mp3
Asi,Tasty,ah-see,Asi ang lasa ng sopas.,The soup tastes bland.,,1,🟢,https://example.com/audio/tagalog/asi.mp3,./tagalog_audio/asi.mp3
Asilado,Outlaw,ah-see-lah-do,Ang asilado na tao ay hindi makalabas ng bansa.,The exiled person cannot leave the country.,,3,🟠,https://example.com/audio/tagalog/asilado.mp3,./tagalog_audio/asilado.mp3
Asin,Salt,ah-sin,Magdagdag ng asin sa pagkain para sumarap.,Add salt to the food to make it tastier.,1.0,1,🟢,https://example.com/audio/tagalog/asin.mp3,./tagalog_audio/asin.mp3
Aso,Dog,ah-soh,Ang aso ko ay masayahin.,My dog is cheerful.,,1,🟢,https://example.com/audio/tagalog/aso.mp3,./tagalog_audio/aso.mp3
Asu,Dog,ah-soo,May asu na naligaw sa kalsada.,There is a stray dog on the street.,,1,🟢,https://example.com/audio/tagalog/asu.mp3,./tagalog_audio/asu.mp3
Asukal, Sugar, a-su-kal,,,1.0,3,🟠,https://example.com/audio/tagalog/asukal.mp3,./tagalog_audio/asukal.mp3
Asul,Blue,ah-sool,Ang kanyang paboritong kulay ay asul.,His favorite color is blue.,,1,🟢,https://example.com/audio/tagalog/asul.mp3,./tagalog_audio/asul.mp3
At,And,aht,At siya ay dumating ng maaga.,And he arrived early.,,1,🟢,https://example.com/audio/tagalog/at.mp3,./tagalog_audio/at.mp3
Atay,Liver,ah-tie,Malusog ang kanyang atay.,His liver is healthy.,,1,🟢,https://example.com/audio/tagalog/atay.mp3,./tagalog_audio/atay.mp3
Atin,Ours,ah-tin,Atin ang desisyong ito.,This decision is ours.,,1,🟢,https://example.com/audio/tagalog/atin.mp3,./tagalog_audio/atin.mp3
Ating,Our,ah-ting,Ating pag-aralan ang bagong leksyon.,Let us study the new lesson.,,3,🟠,https://example.com/audio/tagalog/ating.mp3,./tagalog_audio/ating.mp3
Atras,Back,ah-trahs,Atras muna bago sumulong.,Step back first before moving forward.,,3,🟠,https://example.com/audio/tagalog/atras.mp3,./tagalog_audio/atras.mp3
Awan,None,ah-wahn,Walang awan sa kanyang puso.,There is no mercy in his heart.,,1,🟢,https://example.com/audio/tagalog/awan.mp3,./tagalog_audio/awan.mp3
Awit,Song,ah-wit,Maganda ang kanyang awit.,His song is beautiful.,,1,🟢,https://example.com/audio/tagalog/awit.mp3,./tagalog_audio/awit.mp3
Ay, Is/Are, ay, Siya ay mabait at matulungin., He/She is kind and helpful.,,1,🟢,https://example.com/audio/tagalog/ay.mp3,./tagalog_audio/ay.mp3
Ayon,According to,ah-yon,"Ayon sa balita, may bagyo bukas.","According to the news, there is a storm tomorrow.",,1,🟢,https://example.com/audio/tagalog/ayon.mp3,./tagalog_audio/ayon.mp3
Ayos,Okay,ah-yos,"Ayos lang ako, salamat.","I'm fine, thank you.",,1,🟢,https://example.com/audio/tagalog/ayos.mp3,./tagalog_audio/ayos.mp3
Ayuda,Help/Assistance,ah-yoo-dah,Nakatanggap siya ng ayuda mula sa gobyerno.,He received assistance from the government.,,2,🟡,https://example.com/audio/tagalog/ayuda.mp3,./tagalog_audio/ayuda.mp3
Baba,Chin,Bah-bah,Matulis ang baba niya.,Her chin is pointed.,,1,🟢,https://example.com/audio/tagalog/baba.mp3,./tagalog_audio/baba.mp3
Babae,Woman,bah-bah-eh,Ang babae ay mabait at matulungin.,The woman is kind and helpful.,1.0,3,🟠,https://example.com/audio/tagalog/babae.mp3,./tagalog_audio/babae.mp3
Baboy,Pig,Bah-boy,Nasa bukid ang baboy.,The pig is in the field.,,3,🟠,https://example.com/audio/tagalog/baboy.mp3,./tagalog_audio/baboy.mp3
Bag, Bag, bag,,,1.0,1,🟢,https://example.com/audio/tagalog/bag.mp3,./tagalog_audio/bag.mp3
Baga,Lung,Bah-gah,Malakas ang baga ko.,My lungs are strong.,,1,🟢,https://example.com/audio/tagalog/baga.mp3,./tagalog_audio/baga.mp3
Bagahe,Luggage,Bah-gah-heh,Nasa kotse ang bagahe.,The luggage is in the car.,,3,🟠,https://example.com/audio/tagalog/bagahe.mp3,./tagalog_audio/bagahe.mp3
Bagay,Thing,ba-gay,Mahahalagang bagay ang dapat ingatan.,Important things should be taken care of.,,3,🟠,https://example.com/audio/tagalog/bagay.mp3,./tagalog_audio/bagay.mp3
Bago,New,Bah-goh,Bago ang sapatos ko.,My shoes are new.,,1,🟢,https://example.com/audio/tagalog/bago.mp3,./tagalog_audio/bago.mp3
Bagong,New (variant),Bah-gong,Bagong libro ito.,This is a new book.,,3,🟠,https://example.com/audio/tagalog/bagong.mp3,./tagalog_audio/bagong.mp3
Bagsak,Fail,bag-sak,Bagsak siya sa eksam kahapon.,He failed the exam yesterday.,,3,🟠,https://example.com/audio/tagalog/bagsak.mp3,./tagalog_audio/bagsak.mp3
Bagyo,Storm,Bag-yoh,Malakas ang bagyo ngayon.,The storm is strong now.,,3,🟠,https://example.com/audio/tagalog/bagyo.mp3,./tagalog_audio/bagyo.mp3
Bagyong,Storm,bag-yong,Malakas ang bagyong dumaan.,The storm that passed was strong.,,3,🟠,https://example.com/audio/tagalog/bagyong.mp3,./tagalog_audio/bagyong.mp3
Bahay,House,bah-hai,Malaki ang bahay nila sa probinsya.,Their house in the province is big.,,1,🟢,https://example.com/audio/tagalog/bahay.mp3,./tagalog_audio/bahay.mp3
