Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Aguinaldo,Christmas gift,ah-gwee-nahl-do,Ang aguinaldo niya ay malaking halaga.,His Christmas bonus is a large amount.,,3
Aha,I see,ah-ha,Aha! Alam ko na ang sagot!,Aha! I know the answer now!,,1
Ahas,Snake,Ah-has,Nasa puno ang ahas.,The snake is in the tree.,,1
Ahente,Agent,Ah-hen-teh,Ahente siya ng kompanya.,He's an agent of the company.,,4
Ahon,To rise,ah-hon,Kailangan kong umahon mula sa hirap.,I need to rise from hardship.,,1
Akala,Assumption,ah-kah-lah,Mali ang akala ko sa kanya.,I was wrong in my assumption about him.,,5
Akan,I will,ah-kahn,Akan ang susunod na proyekto.,I will handle the next project.,,1
Akin,Mine,Ah-kin,Akin ang bag na ito.,This bag is mine.,1.0,1
Aking,My,ah-king,Aking pamilya ang inspirasyon ko.,My family is my inspiration.,,3
Aklat,Book,ah-klat,Nagbasa siya ng aklat buong gabi.,He read a book all night.,,3
Ako,I,Ah-koh,Ako ang magbabayad.,I will pay.,1.0,1
Aksidente,Accident,ahk-see-den-te,Nakasama siya sa isang aksidente kahapon.,He was involved in an accident yesterday.,,4
Aksyon,Action,ahk-syon,Aksyon ang kailangan upang malutas ito.,Action is needed to solve this.,,3
Akyat,Climb,Ahk-yat,Akyat ka sa puno.,Climb the tree.,,4
Ala,None,ah-lah,Ala akong dala ngayong umaga.,I have nothing with me this morning.,,1
Alaala,Memory,ah-lah-ah-lah,Ang alaala ng nakaraan ay mahirap kalimutan.,The memory of the past is hard to forget.,,5
Alaga,Pet / Care,Ah-lah-gah,Alaga ko ang pusa.,The cat is my pet.,,3
Alak,Alcohol,Ah-lak,Huwag kang uminom ng alak.,Don't drink alcohol.,,1
Alala,Memory,ah-lah-lah,May alala pa rin siya tungkol sa nakaraan.,He still remembers the past.,,5
Alala (1),Worry,Ah-lah-lah,Huwag kang mag-alala.,Don't worry.,,3
Alam,Know,Ah-lam,Alam ko ang sagot.,I know the answer.,,1
Alam (2),Know,ah-lahm,Alam ko ang tamang sagot.,I know the correct answer.,,3
Alamin,To find out,ah-lah-min,Alamin natin kung kailan darating ang bus.,Let's find out when the bus will arrive.,,3
Alang-alang,For the sake of,ah-lahng-ah-lahng,"Alang-alang sa pamilya ko, magsisikap ako.","For the sake of my family, I will work hard.",,3
Alas,Time (o'clock),Ah-las,Alas dose na.,It's twelve o'clock.,,1
Alat,Saltiness,ah-lat,Ang pagkain na may alat ay masarap.,Food with saltiness is delicious.,,1
Alay,Offer,ah-lay,Nag-alay siya ng dasal sa simbahan.,He offered a prayer at the church.,,1
Albayalde,White lead,Al-bah-yal-deh,Gamit nila ang albayalde.,They use white lead.,,3
Albularyo,Healer,Al-boo-lar-yoh,Nasa nayon ang albularyo.,The healer is in the village.,,3
Aldo,Day,ahl-do,Aldo ngayon ng pista sa baryo.,Today is the village festival day.,,1
Ale,Lady (informal),Ah-leh,Mabait ang ale na iyon.,That lady is kind.,,1
Alibyo,Excuse,ah-lee-byo,Ang alibyo niya sa sakit ay gamot.,His relief from pain is medicine.,,3
Alim,Inside,ah-leem,Alim ang kanyang pandinig sa malalakas na tunog.,His hearing is sensitive to loud sounds.,,1
Alimango,Crab,ah-lee-mah-ngo,Alimango ang paborito kong seafood.,Crab is my favorite seafood.,,3
Alin,Which,ah-lin,Alin sa mga ito ang gusto mo?,Which one do you like?,,1
Alindog,Charm,Ah-lin-dog,May alindog siya.,She has charm.,,3
Aling,Which,ah-ling,Aling tindahan ang nagbebenta ng murang bigas?,Which store sells cheap rice?,,3
Alingawngaw,Echo,ah-ling-ahng-wahng,Narinig ko ang alingawngaw sa kuweba.,I heard the echo in the cave.,,3
Alipin,Slave,ah-lee-peen,Alipin sila noong unang panahon.,They were slaves in the old times.,,3
Alis,Leave,Ah-lis,Alis na ako.,I'm leaving now.,1.0,1
Alit,Dust,ah-lit,Alit ang dumi sa kanyang damit.,There is dust on his clothes.,,1
Alitan,Quarrel,ah-lee-tan,May matinding alitan sa pagitan ng magkaibigan.,There is a serious conflict between the friends.,,3
Alitaptap,Firefly,Ah-lee-tap-tap,Nasa gubat ang alitaptap.,The firefly is in the forest.,,3
Alituntunin,Rule/Regulation,ah-lee-toon-too-nin,Alituntunin sa paaralan ang dapat sundin.,School rules must be followed.,,3
Alkohol,Alcohol (variant),Al-koh-hol,Nasa mesa ang alkohol.,The alcohol is on the table.,,3
Almusal,Breakfast (variant),Al-moo-sal,Kain tayo ng almusal.,Let's eat breakfast.,,3
Alog,Shake,Ah-log,Alog mo ang bote.,Shake the bottle.,,1
Alok,Offer,ah-lok,Nagbigay siya ng alok sa akin.,He made an offer to me.,,1
Alon,Wave,ah-lon,Malakas ang alon sa dagat ngayon.,The waves are strong in the sea today.,,1
Alpabeto,Alphabet,Al-pah-beh-toh,Aralin mo ang alpabeto.,Study the alphabet.,,3
Alpombra,Carpet,Al-pom-brah,Nasa sala ang alpombra.,The carpet is in the living room.,,3
Alta,High (social class),Al-tah,Alta ang pamilya niya.,Her family is high-class.,,1
Altapresyon,Hypertension,Al-tah-preh-syon,May altapresyon si lolo.,Grandpa has hypertension.,,3
Altar,Altar,Al-tar,Nasa simbahan ang altar.,The altar is in the church.,,3
Aluminyo,Aluminum,Ah-loo-min-yoh,Gawa sa aluminyo ang lata.,The can is made of aluminum.,,3
Ama,Father,ah-mah,Ang ama ko ay isang mabuting tao.,My father is a good person.,,1
Ambon,Drizzle,Am-bon,Umambon kanina.,It drizzled earlier.,,3
Ambulansya,Ambulance,Am-boo-lan-syah,Nandito ang ambulansya.,The ambulance is here.,1.0,3
Ami,Friend,ah-mee,Si Ami ay mabait at matulungin.,Ami is kind and helpful.,,1
Amiga,Friend (female),Ah-mee-gah,Amiga ko si Maria.,Maria is my friend.,,2
Amigo,Friend (male),Ah-mee-goh,Amigo ko si Juan.,Juan is my friend.,,2
Amin,Ours,ah-min,"Amin itong bahay, kaya dapat natin itong alagaan.","This house is ours, so we must take care of it.",,1
Amo,Master / Boss,Ah-mo,Nasa opisina ang amo ko.,My boss is in the office.,,1
Amoy,Smell,Ah-moi,Mabango ang amoy niya.,Her smell is nice.,,1
Ampalaya,Bitter melon,Am-pah-lah-yah,Gusto ko ng ampalaya.,I like bitter melon.,,3
Ampaw,Puffed rice,Am-pao,Nasa plato ang ampaw.,The puffed rice is on the plate.,,3
Anak,Child,Ah-nak,Naglalaro ang anak ko.,My child is playing.,1.0,1
Anay,Termite,Ah-nai,Nasa kahoy ang anay.,The termite is in the wood.,,1
Andador,Walker (baby),An-dah-dor,Gamit niya ang andador.,He's using the walker.,,3
Ang, The, ang, Ang araw ay sumisikat sa umaga., The sun rises in the morning.,,1
Angat,Superior,ahng-aht,Angat ang kalidad ng kanyang trabaho.,The quality of his work is outstanding.,,3
Angil,Growl,ahng-il,Narinig ko ang angil ng aso sa labas.,I heard the dog's growl outside.,,3
Angkop,Appropriate,ahng-kop,Angkop ang kanyang suot sa okasyon.,His outfit is appropriate for the occasion.,,3
Anim, Six, a-nim,,,1.0,1
Animo,Spirit,ah-nee-mo,Ang animo niya ay parang isang matapang na mandirigma.,His spirit is like that of a brave warrior.,,3
Anino,Shadow,ah-nee-no,May anino sa likod ng pinto.,There is a shadow behind the door.,,3
Ano, What, a-no,,,1.0,1
Anong, What, a-nong, Anong pangalan mo?, What is your name?,1.0,3
Antas,Level,ahn-tas,Iba't ibang antas ng kaalaman ang natutunan ko.,I learned different levels of knowledge.,,3
Apat,Four,ah-paht,Apat ang silya sa mesa.,There are four chairs at the table.,,1
Apo,Grandchild,ah-poh,Mahal ko ang aking apo.,I love my grandchild.,,1
Apon,Blessing,ah-pon,Ang apon ng kanyang buhay ay puno ng pagsubok.,The later part of his life is full of challenges.,,1
Apos,Blessed,ah-pohs,Apos na ang kanyang kasikatan.,His fame has faded.,,1
Arabe,Arab,ah-rah-be,Maraming Arabe sa bansang ito.,There are many Arabs in this country.,,3
Aral,Lesson,ah-ral,Ang mabuting aral ay dapat isabuhay.,A good lesson should be applied in life.,,1
Araw,Day,ah-rahw,Ang araw ay sumisikat tuwing umaga.,The sun rises every morning.,1.0,1
Aring,To be,ah-ring,Ang aring lupa ay minana niya sa kanyang lolo.,The inherited land came from his grandfather.,,3
Arko,Arc,ahr-ko,Maganda ang disenyo ng arko sa parke.,The arch design in the park is beautiful.,,1
Arman,Weapon,ahr-mahn,Si Arman ay isang magaling na pintor.,Arman is a great painter.,,3
Armas,Weapon,ahr-mas,Ang sundalo ay may dalang armas.,The soldier carries a weapon.,,3
Arti,Action,ahr-tee,Ang kanyang arti sa pagtatanghal ay kahanga-hanga.,His artistry in the performance is impressive.,,1
Asa,Hope,ah-sah,Asa ko na darating siya bukas.,I hope he arrives tomorrow.,,1
Asal,Behavior,ah-sahl,Mabuti ang asal ng batang ito.,This child has good manners.,,1
Asawa,Spouse,ah-sah-wah,Ang asawa niya ay isang doktor.,His spouse is a doctor.,,3
Asenso,Progress,ah-sen-so,Ang kanyang negosyo ay patuloy na umaasenso.,His business continues to progress.,,3
Asi,Tasty,ah-see,Asi ang lasa ng sopas.,The soup tastes bland.,,1
Asilado,Outlaw,ah-see-lah-do,Ang asilado na tao ay hindi makalabas ng bansa.,The exiled person cannot leave the country.,,3
Asin,Salt,ah-sin,Magdagdag ng asin sa pagkain para sumarap.,Add salt to the food to make it tastier.,1.0,1
Aso,Dog,ah-soh,Ang aso ko ay masayahin.,My dog is cheerful.,,1
Asu,Dog,ah-soo,May asu na naligaw sa kalsada.,There is a stray dog on the street.,,1
Asukal, Sugar, a-su-kal,,,1.0,3
Asul,Blue,ah-sool,Ang kanyang paboritong kulay ay asul.,His favorite color is blue.,,1
At,And,aht,At siya ay dumating ng maaga.,And he arrived early.,,1
Atay,Liver,ah-tie,Malusog ang kanyang atay.,His liver is healthy.,,1
Atin,Ours,ah-tin,Atin ang desisyong ito.,This decision is ours.,,1
Ating,Our,ah-ting,Ating pag-aralan ang bagong leksyon.,Let us study the new lesson.,,3
Atras,Back,ah-trahs,Atras muna bago sumulong.,Step back first before moving forward.,,3
Awan,None,ah-wahn,Walang awan sa kanyang puso.,There is no mercy in his heart.,,1
Awit,Song,ah-wit,Maganda ang kanyang awit.,His song is beautiful.,,1
Ay, Is/Are, ay, Siya ay mabait at matulungin., He/She is kind and helpful.,,1
Ayon,According to,ah-yon,"Ayon sa balita, may bagyo bukas.","According to the news, there is a storm tomorrow.",,1
Ayos,Okay,ah-yos,"Ayos lang ako, salamat.","I'm fine, thank you.",,1
Ayuda,Help/Assistance,ah-yoo-dah,Nakatanggap siya ng ayuda mula sa gobyerno.,He received assistance from the government.,,2
Baba,Chin,Bah-bah,Matulis ang baba niya.,Her chin is pointed.,,1
Babae,Woman,bah-bah-eh,Ang babae ay mabait at matulungin.,The woman is kind and helpful.,1.0,3
Baboy,Pig,Bah-boy,Nasa bukid ang baboy.,The pig is in the field.,,3
Bag, Bag, bag,,,1.0,1
Baga,Lung,Bah-gah,Malakas ang baga ko.,My lungs are strong.,,1
Bagahe,Luggage,Bah-gah-heh,Nasa kotse ang bagahe.,The luggage is in the car.,,3
Bagay,Thing,ba-gay,Mahahalagang bagay ang dapat ingatan.,Important things should be taken care of.,,3
Bago,New,Bah-goh,Bago ang sapatos ko.,My shoes are new.,,1
Bagong,New (variant),Bah-gong,Bagong libro ito.,This is a new book.,,3
Bagsak,Fail,bag-sak,Bagsak siya sa eksam kahapon.,He failed the exam yesterday.,,3
Bagyo,Storm,Bag-yoh,Malakas ang bagyo ngayon.,The storm is strong now.,,3
Bagyong,Storm,bag-yong,Malakas ang bagyong dumaan.,The storm that passed was strong.,,3
Bahay,House,bah-hai,Malaki ang bahay nila sa probinsya.,Their house in the province is big.,,1
Bakal,Iron,Bah-kal,Matibay ang bakal na iyan.,That iron is sturdy.,,3
Bakante,Vacant,Bah-kan-teh,Bakante ang upuan.,The seat is vacant.,,3
Bakasyon,Vacation,Bah-kas-yon,Nasa beach kami sa bakasyon.,We're at the beach on vacation.,,3
Bakit, Why, ba-kit,,,1.0,3
Bala,Bullet,Bah-lah,Nasa baril ang bala.,The bullet is in the gun.,,1
Balak,Plan,Bah-lak,Ano ang balak mo mamaya?,What's your plan later?,,3
Balang,Locust,Bah-lang,Nasa palayan ang balang.,The locust is in the rice field.,,3
Balat,Skin,Bah-lat,Makinis ang balat ko.,My skin is smooth.,,3
Balbas,Beard,Bal-bas,Mahaba ang balbas niya.,His beard is long.,,3
Balde,Bucket,Bal-deh,Kuha ka ng balde.,Get a bucket.,,3
Balik,Return,bah-lik,Kailan ka babalik dito?,When are you coming back here?,1.0,3
Balikat,Shoulder,bah-lee-kat,Masakit ang balikat ko ngayon.,My shoulder hurts today.,,3
Balita,News,bah-lee-tah,May balita ka ba tungkol sa kanya?,Do you have any news about him?,,3
Baliw,Crazy,Bah-liw,Baliw ang aso na iyon.,That dog is crazy.,,3
Balkon,Balcony,Bal-kon,Nasa balkon si nanay.,Mom is on the balcony.,,3
Balon,Well,ba-lon,May tubig sa lumang balon.,There is water in the old well.,,3
Balot,Wrap,Bah-lot,Balot mo ang pagkain.,Wrap the food.,,3
Balsa,Raft,Bal-sah,Gawa sa kahoy ang balsa.,The raft is made of wood.,,3
Baluktot,Crooked,Bah-luk-tot,Baluktot ang lapis.,The pencil is crooked.,,3
Banal,Holy,Bah-nal,Banal ang simbahan.,The church is holy.,,3
Bandera,Flag (variant),Ban-deh-rah,Nasa poste ang bandera.,The flag is on the pole.,,3
Bandila,Flag,Ban-dee-lah,Mataas ang bandila natin.,Our flag is high.,,3
Banga,Jar,Bah-ngah,Puno ang banga ng tubig.,The jar is full of water.,,3
Bangin,Cliff,Bah-ngin,Malayo ang bangin.,The cliff is far.,,3
Bangis,Fierceness,Bah-ngis,Mabangis ang leon.,The lion is fierce.,,3
Bangka, Boat, bang-ka,,,1.0,3
Bangkay,Corpse,Bang-kai,Nasa kabaong ang bangkay.,The corpse is in the coffin.,,3
Bangko,Bank,Bang-koh,Nasa bangko ang pera ko.,My money is in the bank.,,3
Bangus,Milkfish,Bah-ngoos,Gusto ko ng bangus.,I like milkfish.,,3
Banig,Mat,Bah-nig,Tulog siya sa banig.,He's sleeping on the mat.,,3
Banlaw,Rinse,Ban-lao,Banlaw mo ang damit.,Rinse the clothes.,,3
Bansa,Country,Ban-sah,Malaki ang bansa natin.,Our country is big.,,3
Bansot,Stunted,Ban-sot,Bansot ang puno.,The tree is stunted.,,3
Banta,Threat,Ban-tah,Walang banta ang tao.,The person has no threat.,,3
Bantay,Guard,Ban-tie,Bantay mo ang bahay.,Guard the house.,,3
Bantog,Famous,Ban-tog,Bantog ang artista.,The artist is famous.,,3
Banyaga,Foreigner,Ban-yah-gah,Banyaga ang kapitbahay.,The neighbor is a foreigner.,,3
Banyo,Bathroom,Ban-yoh,Nasa banyo si tatay.,Dad is in the bathroom.,,3
Bara,Clog,Bah-rah,Bara ang lababo.,The sink is clogged.,,1
Baraha,Cards (playing),Bah-rah-hah,Naglalaro kami ng baraha.,We're playing cards.,,2
Barbero,Barber,Bar-beh-roh,Nasa barbero si tatay.,Dad is at the barber.,,3
Baril,Gun,Bah-ril,Huwag hawakan ang baril.,Don't touch the gun.,,3
Bariles,Barrel,Bah-ree-les,Puno ang bariles ng tubig.,The barrel is full of water.,,3
Barkada,Friends (group),Bar-kah-dah,Kasama ko ang barkada.,I'm with my friends.,,2
Barko,Ship,bar-ko,Ang barko ay malaki at mabilis.,The ship is big and fast.,,3
Baro,Clothes (old term),Bah-roh,Matanda ang baro niya.,His clothes are old-fashioned.,,1
Barong,Traditional shirt,Bah-rong,Suot ko ang barong.,I'm wearing a barong.,,3
Barya,Coins,Bar-yah,Meron akong barya.,I have some coins.,1.0,3
Basa,Read,bah-sah,Basang-basa ang kanyang damit.,His clothes are soaking wet.,,1
Basag,Broken,Bah-sag,Basag ang salamin.,The mirror is broken.,,3
Basahan,Rag,Bah-sah-han,Gamitin mo ang basahan.,Use the rag.,,3
Baso,Glass (drinking),Bah-soh,Linisin mo ang baso.,Clean the glass.,,1
Baston,Cane,Bas-ton,Hawakan mo ang baston.,Hold the cane.,,3
Basura,Trash,Bah-soo-rah,Itapon mo ang basura.,Throw away the trash.,,3
Bata,Bathrobe,Bah-tah,Suot ko ang bata.,I'm wearing a bathrobe.,,1
Batak,Stretch,Bah-tak,Batak mo ang lubid.,Stretch the rope.,,3
Batalan,Kitchen extension,Bah-tah-lan,Nasa batalan ang kalan.,The stove is in the kitchen extension.,,3
Batang, Child, ba-tang, Ang batang iyon ay masayahin., That child is cheerful.,,3
Batas,Law,Bah-tas,Sundin mo ang batas.,Follow the law.,,3
Batay,Based on,Bah-tie,Batay sa plano  tama ito.,Based on the plan  this is right.,,3
Baterya,Battery,Bah-ter-yah,Bumili ako ng baterya.,I bought a battery.,,3
Bati,Greet,Bah-tee,Bati mo ang bisita.,Greet the visitor.,,1
Batis,Stream,Bah-tis,Malinis ang batis.,The stream is clean.,,3
Bato,Stone,Bah-toh,Malaki ang bato sa daan.,The stone on the road is big.,,1
Bato-balani,Magnet,Bah-toh-bah-lah-nee,May bato-balani sa mesa.,There's a magnet on the table.,,3
Batong-buhay,Living stone,Bah-tong-boo-hai,Batong-buhay ang dekorasyon.,The decoration is a living stone.,,3
Batugan,Lazy person,Bah-too-gan,Batugan ang kapatid ko.,My sibling is lazy.,,3
Bawal,Forbidden,Bah-wal,Bawal maglaro dito.,Playing here is forbidden.,,3
Bawang,Garlic,Bah-wang,Mabango ang bawang.,The garlic smells good.,,3
Bawas,Reduce,Bah-was,Bawas ang gastos ko.,Reduce my expenses.,,3
Bawi,Take back,Bah-wee,Bawi mo ang sinabi mo.,Take back what you said.,,1
Baya,Let / Allow,Bah-yah,Baya mo siyang maglaro.,Let him play.,,1
Bayabas,Guava,Bah-yah-bas,Gusto ko ng bayabas.,I want guava.,,3
Bayad,Payment,Bah-yad,Bayad mo ang utang.,Pay your debt.,,3
Bayan,Town,Bah-yan,Malayo ang bayan.,The town is far.,,3
Bayani,Hero,ba-ya-ni,Si Jose Rizal ay isang bayani.,Jose Rizal is a hero.,,3
Bayaw,Brother-in-law,Bah-yow,Mabait ang bayaw ko.,My brother-in-law is kind.,,3
Bayawak,Lizard (monitor),Bah-yah-wak,Nasa puno ang bayawak.,The monitor lizard is in the tree.,,3
Baybay,Coast,bye-bye,Gusto kong magbakasyon sa baybayin.,I want to vacation by the coast.,,3
Baybayin,Shore,Bai-bai-in,Nasa baybayin ang bahay.,The house is on the shore.,,3
Bayo,Pound (verb),Bah-yoh,Bayo mo ang bawang.,Pound the garlic.,,1
Bayong,Woven bag,Bah-yong,Nasa bayong ang gulay.,The vegetables are in the woven bag.,,3
Beh,But (informal),Beh,Gusto ko -  beh wala akong pera.,I want to - but I have no money.,,1
Belo,Veil,Beh-loh,Maganda ang belo niya.,Her veil is beautiful.,,1
Benta,Sale,ben-tah,May malaking benta ang tindahan ngayon.,The store has big sales today.,,3
Berde,Green,Ber-deh,Berde ang damit ko.,My clothes are green.,,3
Bibig,Mouth,Bee-big,Malaki ang bibig niya.,His mouth is big.,,3
Bida,Hero (in a story),Bee-dah,Sino ang bida sa pelikula?,Who's the hero in the movie?,,1
Biga,Lustful,Bee-gah,Biga ang tingin niya.,His look is lustful.,,1
Bigas,Rice (uncooked),Bee-gas,Mahal ang bigas ngayon.,Rice is expensive now.,,3
Bigat,Weight,Bee-gat,Mabigat ang kahon.,The box is heavy.,,3
Bigate,Beginner,Bee-gah-teh,Bigate pa ako sa laro.,I'm still a beginner in the game.,,3
Bigay,Give,Bee-guy,Bigay mo ang bola sa akin.,Give me the ball.,1.0,3
Bihag,Captive,Bee-hag,Bihag siya ng kaaway.,He's a captive of the enemy.,,3
Bihira,Rarely,bee-hee-rah,Bihira siyang umalis ng bahay.,She rarely leaves the house.,,3
Bihis,Dressed up,Bee-his,Bihis na siya.,She's dressed up now.,,3
Biktima,Victim,Bik-tee-mah,Sino ang biktima ng aksidente?,Who is the victim of the accident?,,3
Biktorya,Victory,Bik-tor-yah,Nakuha niya ang biktorya.,He got the victory.,,3
Bilad,Dry in sun,Bee-lad,Bilad mo ang isda.,Dry the fish in the sun.,,3
Bilang,Count,Bee-lang,Bilang mo ang tao.,Count the people.,,3
Bili, Buy, bi-li,,,1.0,1
Bilib,Impressed,Bee-lib,Bilib ako sa iyo.,I'm impressed with you.,,3
Bilis,Speed,bee-lis,Ang bilis ng kanyang takbo sa karera.,His running speed in the race is fast.,,3
Bilog,Ball,bi-log,Mahilig siyang maglaro ng bilog.,He likes to play with a ball.,,3
Binata,Young man,Bee-nah-tah,Binata na ang anak ko.,My son is a young man now.,,3
Binhi,Seed,Bee-nhee,Itanim mo ang binhi.,Plant the seed.,,3
Bintana,Window,Bin-tah-nah,Bukas ang bintana ko.,My window is open.,1.0,3
Binyag,Baptism,Bee-nyag,Nasa simbahan ang binyag.,The baptism is at the church.,,3
Birhen,Virgin,Bir-hen,Birhen ang estatwa.,The statue is a virgin.,,3
Biro,Joke,Bee-roh,Nakakatawa ang biro mo.,Your joke is funny.,,1
Birok,Clerk,Bee-rok,Nasa opisina ang birok.,The clerk is in the office.,,3
Bisa,Effect,Bee-sah,May bisa ang gamot.,The medicine has an effect.,,1
Bisig,Arm,Bee-sig,Malakas ang bisig ko.,My arm is strong.,,3
Bisikleta,Bicycle,Bee-sik-leh-tah,Sakay ako ng bisikleta.,I'm riding a bicycle.,,3
Bisita,Visitor,Bee-see-tah,Dumating ang bisita kahapon.,The visitor arrived yesterday.,,3
Bitag,Trap,Bee-tag,May bitag sa kagubatan.,There's a trap in the forest.,,3
Bitamina,Vitamin,Bee-tah-mee-nah,Kailangan ko ng bitamina.,I need vitamins.,,3
Bitay,Hang (execution),Bee-tie,Bitay ang hatol.,The sentence is hanging.,,3
Bitin,Short / Lacking,Bee-tin,Bitin ang oras natin.,Our time is short.,,3
Bitiw,Let go,Bee-teeo,Bitiw mo ang tali.,Let go of the rope.,,3
Bituka,Intestines,Bee-too-kah,Masakit ang bituka ko.,My intestines hurt.,,3
Biyahe,Trip,Bee-yah-heh,Mahaba ang biyahe ko.,My trip is long.,,3
Biyaya,Blessing,bee-yah-yah,Salamat sa biyaya ng Diyos.,Thank you for God's blessing.,,3
Biyernes,Friday,bee-yer-nes,Biyernes na bukas!,Tomorrow is Friday!,,3
Biyuda,Widow,Bee-yoo-dah,Biyuda na si Lola.,Grandma is a widow now.,,3
Blanko,Blank,Blahn-koh,Blanko ang papel ko.,My paper is blank.,,3
Bola,Ball,Boh-lah,Nasa labas ang bola.,The ball is outside.,,1
Bolpen,Pen,Bohl-pen,Nawala ang bolpen ko.,My pen is lost.,,3
Bomba,Bomb,Bohm-bah,Nakita nila ang bomba.,They saw the bomb.,,3
Bote,Bottle,bo-teh,Nakabili ako ng bote ng tubig.,I bought a bottle of water.,,1
Brilyante,Diamond,Breel-yahn-teh,Mahal ang brilyante.,The diamond is expensive.,,3
Bubong,Roof,Boo-bong,Mataas ang bubong natin.,Our roof is high.,,3
Bubuyog,Bee,Boo-boo-yog,Nasa bulaklak ang bubuyog.,The bee is on the flower.,,3
Budhi,Conscience,Bood-hee,Malinis ang budhi ko.,My conscience is clean.,,3
Bugbog,Beaten,Bug-bog,Bugbog ang katawan niya.,His body is beaten.,,3
Buhangin,Sand,Boo-hahn-gin,Nasa dalampasigan ang buhangin.,The sand is on the shore.,,3
Buhay,Life,boo-hai,Mahaba ang buhay ng isang puno.,A tree's life is long.,,3
Buhok,Hair,boo-hok,Mahaba ang kanyang buhok.,Her hair is long.,,3
Bukal,Spring (water),Boo-kal,Malamig ang tubig sa bukal.,The water in the spring is cold.,,3
Bukas,Open,bu-kas,Bukas ang tindahan tuwing umaga.,The store is open every morning.,,3
Bukid,Field,Boo-kid,Nasa bukid ang kabayo.,The horse is in the field.,,3
Buko,Coconut (young),Boo-koh,Gusto ko ng buko juice.,I want young coconut juice.,,1
Bukol,Lump,Boo-kol,May bukol sa ulo niya.,There's a lump on his head.,,3
Bulag,Blind,Boo-lag,Bulag ang matanda.,The old man is blind.,,3
Bulaklak,Flower,Boo-lak-lak,Maganda ang bulaklak sa hardin.,The flower in the garden is beautiful.,,3
Bulbol,Pubic hair,Bool-bol,Malinis ang bulbol niya.,His pubic hair is clean.,,3
Bulok,Rotten,Boo-lok,Bulok ang mansanas.,The apple is rotten.,,3
Bulsilyo,Pocket,Bool-seel-yoh,Nasa bulsilyo ang pera ko.,My money is in the pocket.,,3
Bulto,Bundle,Bool-toh,Mabigat ang bulto na iyan.,That bundle is heavy.,,3
Bulyaw,Shout,Bool-yow,Bulyaw mo siya.,Shout at him.,,3
Bumaba,Go down,Boo-mah-bah,Bumaba ka sa hagdan.,Go down the stairs.,,3
Bumagsak,Fall,Boo-mag-sak,Bumagsak ang puno.,The tree fell.,,3
Bumalik,Return,Boo-mah-lik,Bumalik ka sa bahay.,Return to the house.,,3
