Filippino Word,English Word,Pronunciation,Example Context,Example English,Difficulty Level,Icon,Real Audio,Part of Speech
Agan,Worn out,ah-gahn,Agan ang kanyang sapatos dahil sa ulan.,His shoes are worn out because of the rain.,1,🟢,./tagalog_audio/agan.mp3,VERB
Agarang,Immediate,ah-gah-rahng,Agarang aksyon ang kailangan sa sitwasyong ito.,Immediate action is needed in this situation.,3,🟠,./tagalog_audio/agarang.mp3,ADJ
Agi,Young,ah-gee,Agi ang bata sa kanyang ina.,The child resembles his mother.,1,🟢,./tagalog_audio/agi.mp3,ADJ
Agimat,Amulet,Ah-gee-mat,Suot niya ang agimat.,He is wearing an amulet.,3,🟠,./tagalog_audio/agimat.mp3,VERB
Agos,Current (water),ah-gos,Malakas ang agos ng ilog ngayon.,The river's current is strong today.,1,🟢,./tagalog_audio/agos.mp3,ADJ
Agosto,August,Ah-gos-toh,Nasa Agosto ang pista.,The fiesta is in August.,3,🟠,./tagalog_audio/agosto.mp3,PROPN
Agri,Agriculture,ah-gree,Agri sector ang pinagkakaabalahan niya.,He is focused on the agriculture sector.,1,🟢,./tagalog_audio/agri.mp3,NOUN
Aguho,Typhoon,ah-goo-ho,Matindi ang aguho noong bagyo.,The landslide was severe during the storm.,3,🟠,./tagalog_audio/aguho.mp3,PROPN
Aguinaldo,Christmas gift,ah-gwee-nahl-do,Ang aguinaldo niya ay malaking halaga.,His Christmas bonus is a large amount.,3,🟠,./tagalog_audio/aguinaldo.mp3,PROPN
Aha,I see,ah-ha,Aha! Alam ko na ang sagot!,Aha! I know the answer now!,1,🟢,./tagalog_audio/aha.mp3,PRON
Ahas,Snake,Ah-has,Nasa puno ang ahas.,The snake is in the tree.,1,🟢,./tagalog_audio/ahas.mp3,NOUN
Ahente,Agent,Ah-hen-teh,Ahente siya ng kompanya.,He's an agent of the company.,4,🔵,./tagalog_audio/ahente.mp3,NOUN
Ahon,To rise,ah-hon,Kailangan kong umahon mula sa hirap.,I need to rise from hardship.,1,🟢,./tagalog_audio/ahon.mp3,PART
Akala,Assumption,ah-kah-lah,Mali ang akala ko sa kanya.,I was wrong in my assumption about him.,5,🟣,./tagalog_audio/akala.mp3,NOUN
Akan,I will,ah-kahn,Akan ang susunod na proyekto.,I will handle the next project.,1,🟢,./tagalog_audio/akan.mp3,PRON
Akin,Mine,Ah-kin,Akin ang bag na ito.,This bag is mine.,1,🟢,./tagalog_audio/akin.mp3,NOUN
Aking,My,ah-king,Aking pamilya ang inspirasyon ko.,My family is my inspiration.,3,🟠,./tagalog_audio/aking.mp3,PRON
Aklat,Book,ah-klat,Nagbasa siya ng aklat buong gabi.,He read a book all night.,3,🟠,./tagalog_audio/aklat.mp3,NOUN
Ako,I,Ah-koh,Ako ang magbabayad.,I will pay.,1,🟢,./tagalog_audio/ako.mp3,PRON
Aksidente,Accident,ahk-see-den-te,Nakasama siya sa isang aksidente kahapon.,He was involved in an accident yesterday.,4,🔵,./tagalog_audio/aksidente.mp3,NOUN
Aksyon,Action,ahk-syon,Aksyon ang kailangan upang malutas ito.,Action is needed to solve this.,3,🟠,./tagalog_audio/aksyon.mp3,NOUN
Akyat,Climb,Ahk-yat,Akyat ka sa puno.,Climb the tree.,4,🔵,./tagalog_audio/akyat.mp3,PROPN
Ala,,ah-lah,Ala akong dala ngayong umaga.,I have nothing with me this morning.,1,🟢,./tagalog_audio/ala.mp3,Unknown
Alaala,Memory,ah-lah-ah-lah,Ang alaala ng nakaraan ay mahirap kalimutan.,The memory of the past is hard to forget.,5,🟣,./tagalog_audio/alaala.mp3,NOUN
Alaga,Pet / Care,Ah-lah-gah,Alaga ko ang pusa.,The cat is my pet.,3,🟠,./tagalog_audio/alaga.mp3,NOUN
Alak,Alcohol,Ah-lak,Huwag kang uminom ng alak.,Don't drink alcohol.,1,🟢,./tagalog_audio/alak.mp3,NOUN
Alala,Memory,ah-lah-lah,May alala pa rin siya tungkol sa nakaraan.,He still remembers the past.,5,🟣,./tagalog_audio/alala.mp3,NOUN
Alala (1),Worry,Ah-lah-lah,Huwag kang mag-alala.,Don't worry.,3,🟠,./tagalog_audio/alala_(1).mp3,NOUN
Alam,Know,Ah-lam,Alam ko ang sagot.,I know the answer.,1,🟢,./tagalog_audio/alam.mp3,VERB
Alam (2),Know,ah-lahm,Alam ko ang tamang sagot.,I know the correct answer.,3,🟠,./tagalog_audio/alam_(2).mp3,VERB
Alamin,To find out,ah-lah-min,Alamin natin kung kailan darating ang bus.,Let's find out when the bus will arrive.,3,🟠,./tagalog_audio/alamin.mp3,PART
Alang-alang,For the sake of,ah-lahng-ah-lahng,"Alang-alang sa pamilya ko, magsisikap ako.","For the sake of my family, I will work hard.",3,🟠,./tagalog_audio/alang-alang.mp3,ADP
Alas,Time (o'clock),Ah-las,Alas dose na.,It's twelve o'clock.,1,🟢,./tagalog_audio/alas.mp3,NOUN
Alat,Saltiness,ah-lat,Ang pagkain na may alat ay masarap.,Food with saltiness is delicious.,1,🟢,./tagalog_audio/alat.mp3,NOUN
Alay,Offer,ah-lay,Nag-alay siya ng dasal sa simbahan.,He offered a prayer at the church.,1,🟢,./tagalog_audio/alay.mp3,VERB
Albayalde,White lead,Al-bah-yal-deh,Gamit nila ang albayalde.,They use white lead.,3,🟠,./tagalog_audio/albayalde.mp3,ADJ
Albularyo,Healer,Al-boo-lar-yoh,Nasa nayon ang albularyo.,The healer is in the village.,3,🟠,./tagalog_audio/albularyo.mp3,PROPN
Aldo,Day,ahl-do,Aldo ngayon ng pista sa baryo.,Today is the village festival day.,1,🟢,./tagalog_audio/aldo.mp3,NOUN
Ale,Lady (informal),Ah-leh,Mabait ang ale na iyon.,That lady is kind.,1,🟢,./tagalog_audio/ale.mp3,PROPN
Alibyo,Excuse,ah-lee-byo,Ang alibyo niya sa sakit ay gamot.,His relief from pain is medicine.,3,🟠,./tagalog_audio/alibyo.mp3,VERB
Alim,Inside,ah-leem,Alim ang kanyang pandinig sa malalakas na tunog.,His hearing is sensitive to loud sounds.,1,🟢,./tagalog_audio/alim.mp3,ADV
Alimango,Crab,ah-lee-mah-ngo,Alimango ang paborito kong seafood.,Crab is my favorite seafood.,3,🟠,./tagalog_audio/alimango.mp3,NOUN
Alin,Which,ah-lin,Alin sa mga ito ang gusto mo?,Which one do you like?,1,🟢,./tagalog_audio/alin.mp3,PRON
Alindog,Charm,Ah-lin-dog,May alindog siya.,She has charm.,3,🟠,./tagalog_audio/alindog.mp3,NOUN
Aling,Which,ah-ling,Aling tindahan ang nagbebenta ng murang bigas?,Which store sells cheap rice?,3,🟠,./tagalog_audio/aling.mp3,PRON
Alingawngaw,Echo,ah-ling-ahng-wahng,Narinig ko ang alingawngaw sa kuweba.,I heard the echo in the cave.,3,🟠,./tagalog_audio/alingawngaw.mp3,NOUN
Alipin,Slave,ah-lee-peen,Alipin sila noong unang panahon.,They were slaves in the old times.,3,🟠,./tagalog_audio/alipin.mp3,NOUN
Alis,Leave,Ah-lis,Alis na ako.,I'm leaving now.,1,🟢,./tagalog_audio/alis.mp3,VERB
Alit,Dust,ah-lit,Alit ang dumi sa kanyang damit.,There is dust on his clothes.,1,🟢,./tagalog_audio/alit.mp3,NOUN
Alitan,Quarrel,ah-lee-tan,May matinding alitan sa pagitan ng magkaibigan.,There is a serious conflict between the friends.,3,🟠,./tagalog_audio/alitan.mp3,PROPN
Alitaptap,Firefly,Ah-lee-tap-tap,Nasa gubat ang alitaptap.,The firefly is in the forest.,3,🟠,./tagalog_audio/alitaptap.mp3,NOUN
Alituntunin,Rule/Regulation,ah-lee-toon-too-nin,Alituntunin sa paaralan ang dapat sundin.,School rules must be followed.,3,🟠,./tagalog_audio/alituntunin.mp3,NOUN
Alkohol,Alcohol (variant),Al-koh-hol,Nasa mesa ang alkohol.,The alcohol is on the table.,3,🟠,./tagalog_audio/alkohol.mp3,NOUN
Almusal,Breakfast (variant),Al-moo-sal,Kain tayo ng almusal.,Let's eat breakfast.,3,🟠,./tagalog_audio/almusal.mp3,NOUN
Alog,Shake,Ah-log,Alog mo ang bote.,Shake the bottle.,1,🟢,./tagalog_audio/alog.mp3,VERB
Alok,Offer,ah-lok,Nagbigay siya ng alok sa akin.,He made an offer to me.,1,🟢,./tagalog_audio/alok.mp3,VERB
Alon,Wave,ah-lon,Malakas ang alon sa dagat ngayon.,The waves are strong in the sea today.,1,🟢,./tagalog_audio/alon.mp3,VERB
Alpabeto,Alphabet,Al-pah-beh-toh,Aralin mo ang alpabeto.,Study the alphabet.,3,🟠,./tagalog_audio/alpabeto.mp3,PROPN
Alpombra,Carpet,Al-pom-brah,Nasa sala ang alpombra.,The carpet is in the living room.,3,🟠,./tagalog_audio/alpombra.mp3,PROPN
Alta,High (social class),Al-tah,Alta ang pamilya niya.,Her family is high-class.,1,🟢,./tagalog_audio/alta.mp3,ADJ
Altapresyon,Hypertension,Al-tah-preh-syon,May altapresyon si lolo.,Grandpa has hypertension.,3,🟠,./tagalog_audio/altapresyon.mp3,NOUN
Altar,Altar,Al-tar,Nasa simbahan ang altar.,The altar is in the church.,3,🟠,./tagalog_audio/altar.mp3,NOUN
Aluminyo,Aluminum,Ah-loo-min-yoh,Gawa sa aluminyo ang lata.,The can is made of aluminum.,3,🟠,./tagalog_audio/aluminyo.mp3,PROPN
Ama,Father,ah-mah,Ang ama ko ay isang mabuting tao.,My father is a good person.,1,🟢,./tagalog_audio/ama.mp3,PROPN
Ambon,Drizzle,Am-bon,Umambon kanina.,It drizzled earlier.,3,🟠,./tagalog_audio/ambon.mp3,NOUN
Ambulansya,Ambulance,Am-boo-lan-syah,Nandito ang ambulansya.,The ambulance is here.,3,🟠,./tagalog_audio/ambulansya.mp3,NOUN
Ami,Friend,ah-mee,Si Ami ay mabait at matulungin.,Ami is kind and helpful.,1,🟢,./tagalog_audio/ami.mp3,NOUN
Amiga,Friend (female),Ah-mee-gah,Amiga ko si Maria.,Maria is my friend.,2,🟡,./tagalog_audio/amiga.mp3,NOUN
Amigo,Friend (male),Ah-mee-goh,Amigo ko si Juan.,Juan is my friend.,2,🟡,./tagalog_audio/amigo.mp3,NOUN
Amin,Ours,ah-min,"Amin itong bahay, kaya dapat natin itong alagaan.","This house is ours, so we must take care of it.",1,🟢,./tagalog_audio/amin.mp3,NOUN
Amo,Master / Boss,Ah-mo,Nasa opisina ang amo ko.,My boss is in the office.,1,🟢,./tagalog_audio/amo.mp3,PROPN
Amoy,Smell,Ah-moi,Mabango ang amoy niya.,Her smell is nice.,1,🟢,./tagalog_audio/amoy.mp3,NOUN
Ampalaya,Bitter melon,Am-pah-lah-yah,Gusto ko ng ampalaya.,I like bitter melon.,3,🟠,./tagalog_audio/ampalaya.mp3,ADJ
Ampaw,Puffed rice,Am-pao,Nasa plato ang ampaw.,The puffed rice is on the plate.,3,🟠,./tagalog_audio/ampaw.mp3,VERB
Anak,Child,Ah-nak,Naglalaro ang anak ko.,My child is playing.,1,🟢,./tagalog_audio/anak.mp3,NOUN
Anay,Termite,Ah-nai,Nasa kahoy ang anay.,The termite is in the wood.,1,🟢,./tagalog_audio/anay.mp3,PROPN
Andador,Walker (baby),An-dah-dor,Gamit niya ang andador.,He's using the walker.,3,🟠,./tagalog_audio/andador.mp3,PROPN
Ang, The, ang, Ang araw ay sumisikat sa umaga., The sun rises in the morning.,1,🟢,./tagalog_audio/ang.mp3,PRON
Angat,Superior,ahng-aht,Angat ang kalidad ng kanyang trabaho.,The quality of his work is outstanding.,3,🟠,./tagalog_audio/angat.mp3,PROPN
Angil,Growl,ahng-il,Narinig ko ang angil ng aso sa labas.,I heard the dog's growl outside.,3,🟠,./tagalog_audio/angil.mp3,NOUN
Angkop,Appropriate,ahng-kop,Angkop ang kanyang suot sa okasyon.,His outfit is appropriate for the occasion.,3,🟠,./tagalog_audio/angkop.mp3,ADJ
Anim, Six, a-nim,,,1,🟢,./tagalog_audio/anim.mp3,NUM
Animo,Spirit,ah-nee-mo,Ang animo niya ay parang isang matapang na mandirigma.,His spirit is like that of a brave warrior.,3,🟠,./tagalog_audio/animo.mp3,PROPN
Anino,Shadow,ah-nee-no,May anino sa likod ng pinto.,There is a shadow behind the door.,3,🟠,./tagalog_audio/anino.mp3,NOUN
Ano, What, a-no,,,1,🟢,./tagalog_audio/ano.mp3,PRON
Anong, What, a-nong, Anong pangalan mo?, What is your name?,3,🟠,./tagalog_audio/anong.mp3,PRON
Antas,Level,ahn-tas,Iba't ibang antas ng kaalaman ang natutunan ko.,I learned different levels of knowledge.,3,🟠,./tagalog_audio/antas.mp3,NOUN
Apat,Four,ah-paht,Apat ang silya sa mesa.,There are four chairs at the table.,1,🟢,./tagalog_audio/apat.mp3,NUM
Apo,Grandchild,ah-poh,Mahal ko ang aking apo.,I love my grandchild.,1,🟢,./tagalog_audio/apo.mp3,VERB
Apon,Blessing,ah-pon,Ang apon ng kanyang buhay ay puno ng pagsubok.,The later part of his life is full of challenges.,1,🟢,./tagalog_audio/apon.mp3,NOUN
Apos,Blessed,ah-pohs,Apos na ang kanyang kasikatan.,His fame has faded.,1,🟢,./tagalog_audio/apos.mp3,VERB
Arabe,Arab,ah-rah-be,Maraming Arabe sa bansang ito.,There are many Arabs in this country.,3,🟠,./tagalog_audio/arabe.mp3,ADJ
Aral,Lesson,ah-ral,Ang mabuting aral ay dapat isabuhay.,A good lesson should be applied in life.,1,🟢,./tagalog_audio/aral.mp3,PROPN
Araw,Day,ah-rahw,Ang araw ay sumisikat tuwing umaga.,The sun rises every morning.,1,🟢,./tagalog_audio/araw.mp3,NOUN
Aring,To be,ah-ring,Ang aring lupa ay minana niya sa kanyang lolo.,The inherited land came from his grandfather.,3,🟠,./tagalog_audio/aring.mp3,PART
Arko,Arc,ahr-ko,Maganda ang disenyo ng arko sa parke.,The arch design in the park is beautiful.,1,🟢,./tagalog_audio/arko.mp3,PROPN
Arman,Weapon,ahr-mahn,Si Arman ay isang magaling na pintor.,Arman is a great painter.,3,🟠,./tagalog_audio/arman.mp3,NOUN
Armas,Weapon,ahr-mas,Ang sundalo ay may dalang armas.,The soldier carries a weapon.,3,🟠,./tagalog_audio/armas.mp3,NOUN
Arti,Action,ahr-tee,Ang kanyang arti sa pagtatanghal ay kahanga-hanga.,His artistry in the performance is impressive.,1,🟢,./tagalog_audio/arti.mp3,NOUN
Asa,Hope,ah-sah,Asa ko na darating siya bukas.,I hope he arrives tomorrow.,1,🟢,./tagalog_audio/asa.mp3,NOUN
Asal,Behavior,ah-sahl,Mabuti ang asal ng batang ito.,This child has good manners.,1,🟢,./tagalog_audio/asal.mp3,NOUN
Asawa,Spouse,ah-sah-wah,Ang asawa niya ay isang doktor.,His spouse is a doctor.,3,🟠,./tagalog_audio/asawa.mp3,NOUN
Asenso,Progress,ah-sen-so,Ang kanyang negosyo ay patuloy na umaasenso.,His business continues to progress.,3,🟠,./tagalog_audio/asenso.mp3,NOUN
Asi,Tasty,ah-see,Asi ang lasa ng sopas.,The soup tastes bland.,1,🟢,./tagalog_audio/asi.mp3,NOUN
Asilado,Outlaw,ah-see-lah-do,Ang asilado na tao ay hindi makalabas ng bansa.,The exiled person cannot leave the country.,3,🟠,./tagalog_audio/asilado.mp3,VERB
Asin,Salt,ah-sin,Magdagdag ng asin sa pagkain para sumarap.,Add salt to the food to make it tastier.,1,🟢,./tagalog_audio/asin.mp3,NOUN
Aso,Dog,ah-soh,Ang aso ko ay masayahin.,My dog is cheerful.,1,🟢,./tagalog_audio/aso.mp3,PROPN
Asu,Dog,ah-soo,May asu na naligaw sa kalsada.,There is a stray dog on the street.,1,🟢,./tagalog_audio/asu.mp3,PROPN
Asukal, Sugar, a-su-kal,,,3,🟠,./tagalog_audio/asukal.mp3,PROPN
Asul,Blue,ah-sool,Ang kanyang paboritong kulay ay asul.,His favorite color is blue.,1,🟢,./tagalog_audio/asul.mp3,ADJ
At,And,aht,At siya ay dumating ng maaga.,And he arrived early.,1,🟢,./tagalog_audio/at.mp3,CCONJ
Atay,Liver,ah-tie,Malusog ang kanyang atay.,His liver is healthy.,1,🟢,./tagalog_audio/atay.mp3,NOUN
Atin,Ours,ah-tin,Atin ang desisyong ito.,This decision is ours.,1,🟢,./tagalog_audio/atin.mp3,NOUN
Ating,Our,ah-ting,Ating pag-aralan ang bagong leksyon.,Let us study the new lesson.,3,🟠,./tagalog_audio/ating.mp3,PRON
Atras,Back,ah-trahs,Atras muna bago sumulong.,Step back first before moving forward.,3,🟠,./tagalog_audio/atras.mp3,ADV
Awan,,ah-wahn,Walang awan sa kanyang puso.,There is no mercy in his heart.,1,🟢,./tagalog_audio/awan.mp3,Unknown
Awit,Song,ah-wit,Maganda ang kanyang awit.,His song is beautiful.,1,🟢,./tagalog_audio/awit.mp3,NOUN
Ay, Is/Are, ay, Siya ay mabait at matulungin., He/She is kind and helpful.,1,🟢,./tagalog_audio/ay.mp3,AUX
Ayon,According to,ah-yon,"Ayon sa balita, may bagyo bukas.","According to the news, there is a storm tomorrow.",1,🟢,./tagalog_audio/ayon.mp3,VERB
Ayos,Okay,ah-yos,"Ayos lang ako, salamat.","I'm fine, thank you.",1,🟢,./tagalog_audio/ayos.mp3,INTJ
Ayuda,Help/Assistance,ah-yoo-dah,Nakatanggap siya ng ayuda mula sa gobyerno.,He received assistance from the government.,2,🟡,./tagalog_audio/ayuda.mp3,VERB
Baba,Chin,Bah-bah,Matulis ang baba niya.,Her chin is pointed.,1,🟢,./tagalog_audio/baba.mp3,PROPN
Babae,Woman,bah-bah-eh,Ang babae ay mabait at matulungin.,The woman is kind and helpful.,3,🟠,./tagalog_audio/babae.mp3,NOUN
Baboy,Pig,Bah-boy,Nasa bukid ang baboy.,The pig is in the field.,3,🟠,./tagalog_audio/baboy.mp3,VERB
Bag, Bag, bag,,,1,🟢,./tagalog_audio/bag.mp3,PROPN
Baga,Lung,Bah-gah,Malakas ang baga ko.,My lungs are strong.,1,🟢,./tagalog_audio/baga.mp3,NOUN
Bagahe,Luggage,Bah-gah-heh,Nasa kotse ang bagahe.,The luggage is in the car.,3,🟠,./tagalog_audio/bagahe.mp3,NOUN
Bagay,Thing,ba-gay,Mahahalagang bagay ang dapat ingatan.,Important things should be taken care of.,3,🟠,./tagalog_audio/bagay.mp3,NOUN
Bago,New,Bah-goh,Bago ang sapatos ko.,My shoes are new.,1,🟢,./tagalog_audio/bago.mp3,ADJ
Bagong,New (variant),Bah-gong,Bagong libro ito.,This is a new book.,3,🟠,./tagalog_audio/bagong.mp3,ADJ
Bagsak,Fail,bag-sak,Bagsak siya sa eksam kahapon.,He failed the exam yesterday.,3,🟠,./tagalog_audio/bagsak.mp3,VERB
Bagyo,Storm,Bag-yoh,Malakas ang bagyo ngayon.,The storm is strong now.,3,🟠,./tagalog_audio/bagyo.mp3,NOUN
Bagyong,Storm,bag-yong,Malakas ang bagyong dumaan.,The storm that passed was strong.,3,🟠,./tagalog_audio/bagyong.mp3,NOUN
Bahay,House,bah-hai,Malaki ang bahay nila sa probinsya.,Their house in the province is big.,1,🟢,./tagalog_audio/bahay.mp3,PROPN
Bakal,Iron,Bah-kal,Matibay ang bakal na iyan.,That iron is sturdy.,3,🟠,./tagalog_audio/bakal.mp3,NOUN
Bakante,Vacant,Bah-kan-teh,Bakante ang upuan.,The seat is vacant.,3,🟠,./tagalog_audio/bakante.mp3,ADJ
Bakasyon,Vacation,Bah-kas-yon,Nasa beach kami sa bakasyon.,We're at the beach on vacation.,3,🟠,./tagalog_audio/bakasyon.mp3,NOUN
Bakit, Why, ba-kit,,,3,🟠,./tagalog_audio/bakit.mp3,SCONJ
Bala,Bullet,Bah-lah,Nasa baril ang bala.,The bullet is in the gun.,1,🟢,./tagalog_audio/bala.mp3,NOUN
Balak,Plan,Bah-lak,Ano ang balak mo mamaya?,What's your plan later?,3,🟠,./tagalog_audio/balak.mp3,NOUN
Balang,Locust,Bah-lang,Nasa palayan ang balang.,The locust is in the rice field.,3,🟠,./tagalog_audio/balang.mp3,NOUN
Balat,Skin,Bah-lat,Makinis ang balat ko.,My skin is smooth.,3,🟠,./tagalog_audio/balat.mp3,NOUN
Balbas,Beard,Bal-bas,Mahaba ang balbas niya.,His beard is long.,3,🟠,./tagalog_audio/balbas.mp3,PROPN
Balde,Bucket,Bal-deh,Kuha ka ng balde.,Get a bucket.,3,🟠,./tagalog_audio/balde.mp3,PROPN
Balik,Return,bah-lik,Kailan ka babalik dito?,When are you coming back here?,3,🟠,./tagalog_audio/balik.mp3,VERB
Balikat,Shoulder,bah-lee-kat,Masakit ang balikat ko ngayon.,My shoulder hurts today.,3,🟠,./tagalog_audio/balikat.mp3,PROPN
Balita,News,bah-lee-tah,May balita ka ba tungkol sa kanya?,Do you have any news about him?,3,🟠,./tagalog_audio/balita.mp3,PROPN
Baliw,Crazy,Bah-liw,Baliw ang aso na iyon.,That dog is crazy.,3,🟠,./tagalog_audio/baliw.mp3,ADJ
Balkon,Balcony,Bal-kon,Nasa balkon si nanay.,Mom is on the balcony.,3,🟠,./tagalog_audio/balkon.mp3,PROPN
Balon,Well,ba-lon,May tubig sa lumang balon.,There is water in the old well.,3,🟠,./tagalog_audio/balon.mp3,INTJ
Balot,Wrap,Bah-lot,Balot mo ang pagkain.,Wrap the food.,3,🟠,./tagalog_audio/balot.mp3,VERB
Balsa,Raft,Bal-sah,Gawa sa kahoy ang balsa.,The raft is made of wood.,3,🟠,./tagalog_audio/balsa.mp3,NOUN
Baluktot,Crooked,Bah-luk-tot,Baluktot ang lapis.,The pencil is crooked.,3,🟠,./tagalog_audio/baluktot.mp3,ADJ
Banal,Holy,Bah-nal,Banal ang simbahan.,The church is holy.,3,🟠,./tagalog_audio/banal.mp3,ADJ
Bandera,Flag (variant),Ban-deh-rah,Nasa poste ang bandera.,The flag is on the pole.,3,🟠,./tagalog_audio/bandera.mp3,NOUN
Bandila,Flag,Ban-dee-lah,Mataas ang bandila natin.,Our flag is high.,3,🟠,./tagalog_audio/bandila.mp3,NOUN
Banga,Jar,Bah-ngah,Puno ang banga ng tubig.,The jar is full of water.,3,🟠,./tagalog_audio/banga.mp3,NOUN
Bangin,Cliff,Bah-ngin,Malayo ang bangin.,The cliff is far.,3,🟠,./tagalog_audio/bangin.mp3,NOUN
Bangis,Fierceness,Bah-ngis,Mabangis ang leon.,The lion is fierce.,3,🟠,./tagalog_audio/bangis.mp3,PROPN
Bangka, Boat, bang-ka,,,3,🟠,./tagalog_audio/bangka.mp3,NOUN
Bangkay,Corpse,Bang-kai,Nasa kabaong ang bangkay.,The corpse is in the coffin.,3,🟠,./tagalog_audio/bangkay.mp3,NOUN
Bangko,Bank,Bang-koh,Nasa bangko ang pera ko.,My money is in the bank.,3,🟠,./tagalog_audio/bangko.mp3,NOUN
Bangus,Milkfish,Bah-ngoos,Gusto ko ng bangus.,I like milkfish.,3,🟠,./tagalog_audio/bangus.mp3,ADJ
Banig,Mat,Bah-nig,Tulog siya sa banig.,He's sleeping on the mat.,3,🟠,./tagalog_audio/banig.mp3,ADJ
Banlaw,Rinse,Ban-lao,Banlaw mo ang damit.,Rinse the clothes.,3,🟠,./tagalog_audio/banlaw.mp3,PROPN
Bansa,Country,Ban-sah,Malaki ang bansa natin.,Our country is big.,3,🟠,./tagalog_audio/bansa.mp3,NOUN
Bansot,Stunted,Ban-sot,Bansot ang puno.,The tree is stunted.,3,🟠,./tagalog_audio/bansot.mp3,VERB
Banta,Threat,Ban-tah,Walang banta ang tao.,The person has no threat.,3,🟠,./tagalog_audio/banta.mp3,NOUN
Bantay,Guard,Ban-tie,Bantay mo ang bahay.,Guard the house.,3,🟠,./tagalog_audio/bantay.mp3,NOUN
Bantog,Famous,Ban-tog,Bantog ang artista.,The artist is famous.,3,🟠,./tagalog_audio/bantog.mp3,ADJ
Banyaga,Foreigner,Ban-yah-gah,Banyaga ang kapitbahay.,The neighbor is a foreigner.,3,🟠,./tagalog_audio/banyaga.mp3,NOUN
Banyo,Bathroom,Ban-yoh,Nasa banyo si tatay.,Dad is in the bathroom.,3,🟠,./tagalog_audio/banyo.mp3,NOUN
Bara,Clog,Bah-rah,Bara ang lababo.,The sink is clogged.,1,🟢,./tagalog_audio/bara.mp3,VERB
Baraha,Cards (playing),Bah-rah-hah,Naglalaro kami ng baraha.,We're playing cards.,2,🟡,./tagalog_audio/baraha.mp3,NOUN
Barbero,Barber,Bar-beh-roh,Nasa barbero si tatay.,Dad is at the barber.,3,🟠,./tagalog_audio/barbero.mp3,PROPN
Baril,Gun,Bah-ril,Huwag hawakan ang baril.,Don't touch the gun.,3,🟠,./tagalog_audio/baril.mp3,PROPN
Bariles,Barrel,Bah-ree-les,Puno ang bariles ng tubig.,The barrel is full of water.,3,🟠,./tagalog_audio/bariles.mp3,PROPN
