Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Ala,None,ah-lah,Ala akong dala ngayong umaga.,I have nothing with me this morning.,
Alaala,Memory,ah-lah-ah-lah,Ang alaala ng nakaraan ay mahirap kalimutan.,The memory of the past is hard to forget.,
Alaga,Pet / Care,Ah-lah-gah,Alaga ko ang pusa.,The cat is my pet.,
Alak,Alcohol,Ah-lak,Huwag kang uminom ng alak.,Don't drink alcohol.,
Alala,Memory,ah-lah-lah,May alala pa rin siya tungkol sa nakaraan.,He still remembers the past.,
Alala (1),Worry,Ah-lah-lah,Huwag kang mag-alala.,Don't worry.,
Alam,Know,Ah-lam,Alam ko ang sagot.,I know the answer.,
Alam (2),Know,ah-lahm,Alam ko ang tamang sagot.,I know the correct answer.,
Alamin,To find out,ah-lah-min,Alamin natin kung kailan darating ang bus.,Let's find out when the bus will arrive.,
Alang-alang,For the sake of,ah-lahng-ah-lahng,"Alang-alang sa pamilya ko, magsisikap ako.","For the sake of my family, I will work hard.",
Alas,Time (o'clock),Ah-las,Alas dose na.,It's twelve o'clock.,
Alat,Saltiness,ah-lat,Ang pagkain na may alat ay masarap.,Food with saltiness is delicious.,
Alay,Offer,ah-lay,Nag-alay siya ng dasal sa simbahan.,He offered a prayer at the church.,
Albayalde,White lead,Al-bah-yal-deh,Gamit nila ang albayalde.,They use white lead.,
Albularyo,Healer,Al-boo-lar-yoh,Nasa nayon ang albularyo.,The healer is in the village.,
Aldo,Day,ahl-do,Aldo ngayon ng pista sa baryo.,Today is the village festival day.,
Ale,Lady (informal),Ah-leh,Mabait ang ale na iyon.,That lady is kind.,
Alibyo,Excuse,ah-lee-byo,Ang alibyo niya sa sakit ay gamot.,His relief from pain is medicine.,
Alim,Inside,ah-leem,Alim ang kanyang pandinig sa malalakas na tunog.,His hearing is sensitive to loud sounds.,
Alimango,Crab,ah-lee-mah-ngo,Alimango ang paborito kong seafood.,Crab is my favorite seafood.,
Alin,Which,ah-lin,Alin sa mga ito ang gusto mo?,Which one do you like?,
Alindog,Charm,Ah-lin-dog,May alindog siya.,She has charm.,
Aling,Which,ah-ling,Aling tindahan ang nagbebenta ng murang bigas?,Which store sells cheap rice?,
Alingawngaw,Echo,ah-ling-ahng-wahng,Narinig ko ang alingawngaw sa kuweba.,I heard the echo in the cave.,
Alipin,Slave,ah-lee-peen,Alipin sila noong unang panahon.,They were slaves in the old times.,
Alis,Leave,Ah-lis,Alis na ako.,I'm leaving now.,1
Alit,Dust,ah-lit,Alit ang dumi sa kanyang damit.,There is dust on his clothes.,
Alitan,Quarrel,ah-lee-tan,May matinding alitan sa pagitan ng magkaibigan.,There is a serious conflict between the friends.,
Alitaptap,Firefly,Ah-lee-tap-tap,Nasa gubat ang alitaptap.,The firefly is in the forest.,
Alituntunin,Rule/Regulation,ah-lee-toon-too-nin,Alituntunin sa paaralan ang dapat sundin.,School rules must be followed.,
Alkohol,Alcohol (variant),Al-koh-hol,Nasa mesa ang alkohol.,The alcohol is on the table.,
Almusal,Breakfast (variant),Al-moo-sal,Kain tayo ng almusal.,Let's eat breakfast.,
Alog,Shake,Ah-log,Alog mo ang bote.,Shake the bottle.,
Alok,Offer,ah-lok,Nagbigay siya ng alok sa akin.,He made an offer to me.,
Alon,Wave,ah-lon,Malakas ang alon sa dagat ngayon.,The waves are strong in the sea today.,
Alpabeto,Alphabet,Al-pah-beh-toh,Aralin mo ang alpabeto.,Study the alphabet.,
Alpombra,Carpet,Al-pom-brah,Nasa sala ang alpombra.,The carpet is in the living room.,
Alta,High (social class),Al-tah,Alta ang pamilya niya.,Her family is high-class.,
Altapresyon,Hypertension,Al-tah-preh-syon,May altapresyon si lolo.,Grandpa has hypertension.,
Altar,Altar,Al-tar,Nasa simbahan ang altar.,The altar is in the church.,
Aluminyo,Aluminum,Ah-loo-min-yoh,Gawa sa aluminyo ang lata.,The can is made of aluminum.,
Ama,Father,ah-mah,Ang ama ko ay isang mabuting tao.,My father is a good person.,
Ambon,Drizzle,Am-bon,Umambon kanina.,It drizzled earlier.,
Ambulansya,Ambulance,Am-boo-lan-syah,Nandito ang ambulansya.,The ambulance is here.,1
Ami,Friend,ah-mee,Si Ami ay mabait at matulungin.,Ami is kind and helpful.,
Amiga,Friend (female),Ah-mee-gah,Amiga ko si Maria.,Maria is my friend.,
Amigo,Friend (male),Ah-mee-goh,Amigo ko si Juan.,Juan is my friend.,
Amin,Ours,ah-min,"Amin itong bahay, kaya dapat natin itong alagaan.","This house is ours, so we must take care of it.",
Amo,Master / Boss,Ah-mo,Nasa opisina ang amo ko.,My boss is in the office.,
Amoy,Smell,Ah-moi,Mabango ang amoy niya.,Her smell is nice.,
Ampalaya,Bitter melon,Am-pah-lah-yah,Gusto ko ng ampalaya.,I like bitter melon.,
Ampaw,Puffed rice,Am-pao,Nasa plato ang ampaw.,The puffed rice is on the plate.,
Anak,Child,Ah-nak,Naglalaro ang anak ko.,My child is playing.,1
Anay,Termite,Ah-nai,Nasa kahoy ang anay.,The termite is in the wood.,
Andador,Walker (baby),An-dah-dor,Gamit niya ang andador.,He's using the walker.,
Ang, The, ang, Ang araw ay sumisikat sa umaga., The sun rises in the morning.,
Angat,Superior,ahng-aht,Angat ang kalidad ng kanyang trabaho.,The quality of his work is outstanding.,
Angil,Growl,ahng-il,Narinig ko ang angil ng aso sa labas.,I heard the dog's growl outside.,
Angkop,Appropriate,ahng-kop,Angkop ang kanyang suot sa okasyon.,His outfit is appropriate for the occasion.,
Anim, Six, a-nim,,,1
Animo,Spirit,ah-nee-mo,Ang animo niya ay parang isang matapang na mandirigma.,His spirit is like that of a brave warrior.,
Anino,Shadow,ah-nee-no,May anino sa likod ng pinto.,There is a shadow behind the door.,
Ano, What, a-no,,,1
Anong, What, a-nong, Anong pangalan mo?, What is your name?,1
Antas,Level,ahn-tas,Iba't ibang antas ng kaalaman ang natutunan ko.,I learned different levels of knowledge.,
Apat,Four,ah-paht,Apat ang silya sa mesa.,There are four chairs at the table.,
Apo,Grandchild,ah-poh,Mahal ko ang aking apo.,I love my grandchild.,
Apon,Blessing,ah-pon,Ang apon ng kanyang buhay ay puno ng pagsubok.,The later part of his life is full of challenges.,
Apos,Blessed,ah-pohs,Apos na ang kanyang kasikatan.,His fame has faded.,
Arabe,Arab,ah-rah-be,Maraming Arabe sa bansang ito.,There are many Arabs in this country.,
Aral,Lesson,ah-ral,Ang mabuting aral ay dapat isabuhay.,A good lesson should be applied in life.,
Araw,Day,ah-rahw,Ang araw ay sumisikat tuwing umaga.,The sun rises every morning.,1
Aring,To be,ah-ring,Ang aring lupa ay minana niya sa kanyang lolo.,The inherited land came from his grandfather.,
Arko,Arc,ahr-ko,Maganda ang disenyo ng arko sa parke.,The arch design in the park is beautiful.,
Arman,Weapon,ahr-mahn,Si Arman ay isang magaling na pintor.,Arman is a great painter.,
Armas,Weapon,ahr-mas,Ang sundalo ay may dalang armas.,The soldier carries a weapon.,
Arti,Action,ahr-tee,Ang kanyang arti sa pagtatanghal ay kahanga-hanga.,His artistry in the performance is impressive.,
Asa,Hope,ah-sah,Asa ko na darating siya bukas.,I hope he arrives tomorrow.,
Asal,Behavior,ah-sahl,Mabuti ang asal ng batang ito.,This child has good manners.,
Asawa,Spouse,ah-sah-wah,Ang asawa niya ay isang doktor.,His spouse is a doctor.,
Asenso,Progress,ah-sen-so,Ang kanyang negosyo ay patuloy na umaasenso.,His business continues to progress.,
Asi,Tasty,ah-see,Asi ang lasa ng sopas.,The soup tastes bland.,
Asilado,Outlaw,ah-see-lah-do,Ang asilado na tao ay hindi makalabas ng bansa.,The exiled person cannot leave the country.,
Asin,Salt,ah-sin,Magdagdag ng asin sa pagkain para sumarap.,Add salt to the food to make it tastier.,1
Aso,Dog,ah-soh,Ang aso ko ay masayahin.,My dog is cheerful.,
Asu,Dog,ah-soo,May asu na naligaw sa kalsada.,There is a stray dog on the street.,
Asukal, Sugar, a-su-kal,,,1
Asul,Blue,ah-sool,Ang kanyang paboritong kulay ay asul.,His favorite color is blue.,
At,And,aht,At siya ay dumating ng maaga.,And he arrived early.,
Atay,Liver,ah-tie,Malusog ang kanyang atay.,His liver is healthy.,
Atin,Ours,ah-tin,Atin ang desisyong ito.,This decision is ours.,
Ating,Our,ah-ting,Ating pag-aralan ang bagong leksyon.,Let us study the new lesson.,
Atras,Back,ah-trahs,Atras muna bago sumulong.,Step back first before moving forward.,
Awan,None,ah-wahn,Walang awan sa kanyang puso.,There is no mercy in his heart.,
Awit,Song,ah-wit,Maganda ang kanyang awit.,His song is beautiful.,
Ay, Is/Are, ay, Siya ay mabait at matulungin., He/She is kind and helpful.,
Ayon,According to,ah-yon,"Ayon sa balita, may bagyo bukas.","According to the news, there is a storm tomorrow.",
Ayos,Okay,ah-yos,"Ayos lang ako, salamat.","I'm fine, thank you.",
Ayuda,Help/Assistance,ah-yoo-dah,Nakatanggap siya ng ayuda mula sa gobyerno.,He received assistance from the government.,
Baba,Chin,Bah-bah,Matulis ang baba niya.,Her chin is pointed.,
Babae,Woman,bah-bah-eh,Ang babae ay mabait at matulungin.,The woman is kind and helpful.,1
Baboy,Pig,Bah-boy,Nasa bukid ang baboy.,The pig is in the field.,
Bag, Bag, bag,,,1
Baga,Lung,Bah-gah,Malakas ang baga ko.,My lungs are strong.,
Bagahe,Luggage,Bah-gah-heh,Nasa kotse ang bagahe.,The luggage is in the car.,
Bagay,Thing,ba-gay,Mahahalagang bagay ang dapat ingatan.,Important things should be taken care of.,
Bago,New,Bah-goh,Bago ang sapatos ko.,My shoes are new.,
Bagong,New (variant),Bah-gong,Bagong libro ito.,This is a new book.,
Bagsak,Fail,bag-sak,Bagsak siya sa eksam kahapon.,He failed the exam yesterday.,
Bagyo,Storm,Bag-yoh,Malakas ang bagyo ngayon.,The storm is strong now.,
Bagyong,Storm,bag-yong,Malakas ang bagyong dumaan.,The storm that passed was strong.,
Bahay,House,bah-hai,Malaki ang bahay nila sa probinsya.,Their house in the province is big.,
Bakal,Iron,Bah-kal,Matibay ang bakal na iyan.,That iron is sturdy.,
Bakante,Vacant,Bah-kan-teh,Bakante ang upuan.,The seat is vacant.,
Bakasyon,Vacation,Bah-kas-yon,Nasa beach kami sa bakasyon.,We're at the beach on vacation.,
Bakit, Why, ba-kit,,,1
Bala,Bullet,Bah-lah,Nasa baril ang bala.,The bullet is in the gun.,
Balak,Plan,Bah-lak,Ano ang balak mo mamaya?,What's your plan later?,
Balang,Locust,Bah-lang,Nasa palayan ang balang.,The locust is in the rice field.,
Balat,Skin,Bah-lat,Makinis ang balat ko.,My skin is smooth.,
Balbas,Beard,Bal-bas,Mahaba ang balbas niya.,His beard is long.,
Balde,Bucket,Bal-deh,Kuha ka ng balde.,Get a bucket.,
Balik,Return,bah-lik,Kailan ka babalik dito?,When are you coming back here?,1
Balikat,Shoulder,bah-lee-kat,Masakit ang balikat ko ngayon.,My shoulder hurts today.,
Balita,News,bah-lee-tah,May balita ka ba tungkol sa kanya?,Do you have any news about him?,
Baliw,Crazy,Bah-liw,Baliw ang aso na iyon.,That dog is crazy.,
Balkon,Balcony,Bal-kon,Nasa balkon si nanay.,Mom is on the balcony.,
Balon,Well,ba-lon,May tubig sa lumang balon.,There is water in the old well.,
Balot,Wrap,Bah-lot,Balot mo ang pagkain.,Wrap the food.,
Balsa,Raft,Bal-sah,Gawa sa kahoy ang balsa.,The raft is made of wood.,
Baluktot,Crooked,Bah-luk-tot,Baluktot ang lapis.,The pencil is crooked.,
Banal,Holy,Bah-nal,Banal ang simbahan.,The church is holy.,
Bandera,Flag (variant),Ban-deh-rah,Nasa poste ang bandera.,The flag is on the pole.,
Bandila,Flag,Ban-dee-lah,Mataas ang bandila natin.,Our flag is high.,
Banga,Jar,Bah-ngah,Puno ang banga ng tubig.,The jar is full of water.,
Bangin,Cliff,Bah-ngin,Malayo ang bangin.,The cliff is far.,
Bangis,Fierceness,Bah-ngis,Mabangis ang leon.,The lion is fierce.,
Bangka, Boat, bang-ka,,,1
Bangkay,Corpse,Bang-kai,Nasa kabaong ang bangkay.,The corpse is in the coffin.,
Bangko,Bank,Bang-koh,Nasa bangko ang pera ko.,My money is in the bank.,
Bangus,Milkfish,Bah-ngoos,Gusto ko ng bangus.,I like milkfish.,
Banig,Mat,Bah-nig,Tulog siya sa banig.,He's sleeping on the mat.,
Banlaw,Rinse,Ban-lao,Banlaw mo ang damit.,Rinse the clothes.,
Bansa,Country,Ban-sah,Malaki ang bansa natin.,Our country is big.,
Bansot,Stunted,Ban-sot,Bansot ang puno.,The tree is stunted.,
Banta,Threat,Ban-tah,Walang banta ang tao.,The person has no threat.,
Bantay,Guard,Ban-tie,Bantay mo ang bahay.,Guard the house.,
Bantog,Famous,Ban-tog,Bantog ang artista.,The artist is famous.,
Banyaga,Foreigner,Ban-yah-gah,Banyaga ang kapitbahay.,The neighbor is a foreigner.,
Banyo,Bathroom,Ban-yoh,Nasa banyo si tatay.,Dad is in the bathroom.,
Bara,Clog,Bah-rah,Bara ang lababo.,The sink is clogged.,
Baraha,Cards (playing),Bah-rah-hah,Naglalaro kami ng baraha.,We're playing cards.,
Barbero,Barber,Bar-beh-roh,Nasa barbero si tatay.,Dad is at the barber.,
Baril,Gun,Bah-ril,Huwag hawakan ang baril.,Don't touch the gun.,
Bariles,Barrel,Bah-ree-les,Puno ang bariles ng tubig.,The barrel is full of water.,
Barkada,Friends (group),Bar-kah-dah,Kasama ko ang barkada.,I'm with my friends.,
Barko,Ship,bar-ko,Ang barko ay malaki at mabilis.,The ship is big and fast.,
Baro,Clothes (old term),Bah-roh,Matanda ang baro niya.,His clothes are old-fashioned.,
Barong,Traditional shirt,Bah-rong,Suot ko ang barong.,I'm wearing a barong.,
Barya,Coins,Bar-yah,Meron akong barya.,I have some coins.,1
Basa,Read,bah-sah,Basang-basa ang kanyang damit.,His clothes are soaking wet.,
Basag,Broken,Bah-sag,Basag ang salamin.,The mirror is broken.,
Basahan,Rag,Bah-sah-han,Gamitin mo ang basahan.,Use the rag.,
Baso,Glass (drinking),Bah-soh,Linisin mo ang baso.,Clean the glass.,
Baston,Cane,Bas-ton,Hawakan mo ang baston.,Hold the cane.,
Basura,Trash,Bah-soo-rah,Itapon mo ang basura.,Throw away the trash.,
Bata,Bathrobe,Bah-tah,Suot ko ang bata.,I'm wearing a bathrobe.,
Batak,Stretch,Bah-tak,Batak mo ang lubid.,Stretch the rope.,
Batalan,Kitchen extension,Bah-tah-lan,Nasa batalan ang kalan.,The stove is in the kitchen extension.,
Batang, Child, ba-tang, Ang batang iyon ay masayahin., That child is cheerful.,
Batas,Law,Bah-tas,Sundin mo ang batas.,Follow the law.,
Batay,Based on,Bah-tie,Batay sa plano  tama ito.,Based on the plan  this is right.,
Baterya,Battery,Bah-ter-yah,Bumili ako ng baterya.,I bought a battery.,
Bati,Greet,Bah-tee,Bati mo ang bisita.,Greet the visitor.,
Batis,Stream,Bah-tis,Malinis ang batis.,The stream is clean.,
Bato,Stone,Bah-toh,Malaki ang bato sa daan.,The stone on the road is big.,
Bato-balani,Magnet,Bah-toh-bah-lah-nee,May bato-balani sa mesa.,There's a magnet on the table.,
Batong-buhay,Living stone,Bah-tong-boo-hai,Batong-buhay ang dekorasyon.,The decoration is a living stone.,
Batugan,Lazy person,Bah-too-gan,Batugan ang kapatid ko.,My sibling is lazy.,
Bawal,Forbidden,Bah-wal,Bawal maglaro dito.,Playing here is forbidden.,
Bawang,Garlic,Bah-wang,Mabango ang bawang.,The garlic smells good.,
Bawas,Reduce,Bah-was,Bawas ang gastos ko.,Reduce my expenses.,
Bawi,Take back,Bah-wee,Bawi mo ang sinabi mo.,Take back what you said.,
Baya,Let / Allow,Bah-yah,Baya mo siyang maglaro.,Let him play.,
Bayabas,Guava,Bah-yah-bas,Gusto ko ng bayabas.,I want guava.,
Bayad,Payment,Bah-yad,Bayad mo ang utang.,Pay your debt.,
Bayan,Town,Bah-yan,Malayo ang bayan.,The town is far.,
Bayani,Hero,ba-ya-ni,Si Jose Rizal ay isang bayani.,Jose Rizal is a hero.,
Bayaw,Brother-in-law,Bah-yow,Mabait ang bayaw ko.,My brother-in-law is kind.,
Bayawak,Lizard (monitor),Bah-yah-wak,Nasa puno ang bayawak.,The monitor lizard is in the tree.,
Baybay,Coast,bye-bye,Gusto kong magbakasyon sa baybayin.,I want to vacation by the coast.,
Baybayin,Shore,Bai-bai-in,Nasa baybayin ang bahay.,The house is on the shore.,
Bayo,Pound (verb),Bah-yoh,Bayo mo ang bawang.,Pound the garlic.,
Bayong,Woven bag,Bah-yong,Nasa bayong ang gulay.,The vegetables are in the woven bag.,
Beh,But (informal),Beh,Gusto ko -  beh wala akong pera.,I want to - but I have no money.,
Belo,Veil,Beh-loh,Maganda ang belo niya.,Her veil is beautiful.,
Benta,Sale,ben-tah,May malaking benta ang tindahan ngayon.,The store has big sales today.,
Berde,Green,Ber-deh,Berde ang damit ko.,My clothes are green.,
Bibig,Mouth,Bee-big,Malaki ang bibig niya.,His mouth is big.,
Bida,Hero (in a story),Bee-dah,Sino ang bida sa pelikula?,Who's the hero in the movie?,
Biga,Lustful,Bee-gah,Biga ang tingin niya.,His look is lustful.,
Bigas,Rice (uncooked),Bee-gas,Mahal ang bigas ngayon.,Rice is expensive now.,
Bigat,Weight,Bee-gat,Mabigat ang kahon.,The box is heavy.,
Bigate,Beginner,Bee-gah-teh,Bigate pa ako sa laro.,I'm still a beginner in the game.,
Bigay,Give,Bee-guy,Bigay mo ang bola sa akin.,Give me the ball.,1
Bihag,Captive,Bee-hag,Bihag siya ng kaaway.,He's a captive of the enemy.,
Bihira,Rarely,bee-hee-rah,Bihira siyang umalis ng bahay.,She rarely leaves the house.,
Bihis,Dressed up,Bee-his,Bihis na siya.,She's dressed up now.,
Biktima,Victim,Bik-tee-mah,Sino ang biktima ng aksidente?,Who is the victim of the accident?,
Biktorya,Victory,Bik-tor-yah,Nakuha niya ang biktorya.,He got the victory.,
Bilad,Dry in sun,Bee-lad,Bilad mo ang isda.,Dry the fish in the sun.,
Bilang,Count,Bee-lang,Bilang mo ang tao.,Count the people.,
Bili, Buy, bi-li,,,1
Bilib,Impressed,Bee-lib,Bilib ako sa iyo.,I'm impressed with you.,
Bilis,Speed,bee-lis,Ang bilis ng kanyang takbo sa karera.,His running speed in the race is fast.,
Bilog,Ball,bi-log,Mahilig siyang maglaro ng bilog.,He likes to play with a ball.,
Binata,Young man,Bee-nah-tah,Binata na ang anak ko.,My son is a young man now.,
Binhi,Seed,Bee-nhee,Itanim mo ang binhi.,Plant the seed.,
Bintana,Window,Bin-tah-nah,Bukas ang bintana ko.,My window is open.,1
Binyag,Baptism,Bee-nyag,Nasa simbahan ang binyag.,The baptism is at the church.,
Birhen,Virgin,Bir-hen,Birhen ang estatwa.,The statue is a virgin.,
Biro,Joke,Bee-roh,Nakakatawa ang biro mo.,Your joke is funny.,
Birok,Clerk,Bee-rok,Nasa opisina ang birok.,The clerk is in the office.,
Bisa,Effect,Bee-sah,May bisa ang gamot.,The medicine has an effect.,
Bisig,Arm,Bee-sig,Malakas ang bisig ko.,My arm is strong.,
Bisikleta,Bicycle,Bee-sik-leh-tah,Sakay ako ng bisikleta.,I'm riding a bicycle.,
Bisita,Visitor,Bee-see-tah,Dumating ang bisita kahapon.,The visitor arrived yesterday.,
Bitag,Trap,Bee-tag,May bitag sa kagubatan.,There's a trap in the forest.,
Bitamina,Vitamin,Bee-tah-mee-nah,Kailangan ko ng bitamina.,I need vitamins.,
Bitay,Hang (execution),Bee-tie,Bitay ang hatol.,The sentence is hanging.,
Bitin,Short / Lacking,Bee-tin,Bitin ang oras natin.,Our time is short.,
Bitiw,Let go,Bee-teeo,Bitiw mo ang tali.,Let go of the rope.,
Bituka,Intestines,Bee-too-kah,Masakit ang bituka ko.,My intestines hurt.,
Biyahe,Trip,Bee-yah-heh,Mahaba ang biyahe ko.,My trip is long.,
Biyaya,Blessing,bee-yah-yah,Salamat sa biyaya ng Diyos.,Thank you for God's blessing.,
Biyernes,Friday,bee-yer-nes,Biyernes na bukas!,Tomorrow is Friday!,
Biyuda,Widow,Bee-yoo-dah,Biyuda na si Lola.,Grandma is a widow now.,
Blanko,Blank,Blahn-koh,Blanko ang papel ko.,My paper is blank.,
Bola,Ball,Boh-lah,Nasa labas ang bola.,The ball is outside.,
Bolpen,Pen,Bohl-pen,Nawala ang bolpen ko.,My pen is lost.,
Bomba,Bomb,Bohm-bah,Nakita nila ang bomba.,They saw the bomb.,
Bote,Bottle,bo-teh,Nakabili ako ng bote ng tubig.,I bought a bottle of water.,
Brilyante,Diamond,Breel-yahn-teh,Mahal ang brilyante.,The diamond is expensive.,
Bubong,Roof,Boo-bong,Mataas ang bubong natin.,Our roof is high.,
Bubuyog,Bee,Boo-boo-yog,Nasa bulaklak ang bubuyog.,The bee is on the flower.,
Budhi,Conscience,Bood-hee,Malinis ang budhi ko.,My conscience is clean.,
Bugbog,Beaten,Bug-bog,Bugbog ang katawan niya.,His body is beaten.,
Buhangin,Sand,Boo-hahn-gin,Nasa dalampasigan ang buhangin.,The sand is on the shore.,
Buhay,Life,boo-hai,Mahaba ang buhay ng isang puno.,A tree's life is long.,
Buhok,Hair,boo-hok,Mahaba ang kanyang buhok.,Her hair is long.,
Bukal,Spring (water),Boo-kal,Malamig ang tubig sa bukal.,The water in the spring is cold.,
Bukas,Open,bu-kas,Bukas ang tindahan tuwing umaga.,The store is open every morning.,
Bukid,Field,Boo-kid,Nasa bukid ang kabayo.,The horse is in the field.,
Buko,Coconut (young),Boo-koh,Gusto ko ng buko juice.,I want young coconut juice.,
Bukol,Lump,Boo-kol,May bukol sa ulo niya.,There's a lump on his head.,
Bulag,Blind,Boo-lag,Bulag ang matanda.,The old man is blind.,
Bulaklak,Flower,Boo-lak-lak,Maganda ang bulaklak sa hardin.,The flower in the garden is beautiful.,
Bulbol,Pubic hair,Bool-bol,Malinis ang bulbol niya.,His pubic hair is clean.,
Bulok,Rotten,Boo-lok,Bulok ang mansanas.,The apple is rotten.,
Bulsilyo,Pocket,Bool-seel-yoh,Nasa bulsilyo ang pera ko.,My money is in the pocket.,
Bulto,Bundle,Bool-toh,Mabigat ang bulto na iyan.,That bundle is heavy.,
Bulyaw,Shout,Bool-yow,Bulyaw mo siya.,Shout at him.,
Bumaba,Go down,Boo-mah-bah,Bumaba ka sa hagdan.,Go down the stairs.,
Bumagsak,Fall,Boo-mag-sak,Bumagsak ang puno.,The tree fell.,
Bumalik,Return,Boo-mah-lik,Bumalik ka sa bahay.,Return to the house.,
Bumangon,Get up,Boo-mah-ngon,Bumangon ka na.,Get up now.,
Bumili,Buy,Boo-mee-lee,Bumili ako ng tinapay.,I bought bread.,
Bumisita,Visit,Boo-mee-see-tah,Bumisita siya kahapon.,He visited yesterday.,
Bumoto,To vote,boo-mo-to,Bumoto tayo para sa kinabukasan.,Let's vote for the future.,
Bumubuo,Forming,Boo-moo-boo-oh,Bumubuo kami ng plano.,We're forming a plan.,
Bumuga,Spit,Boo-moo-gah,Bumuga siya sa sahig.,He spat on the floor.,
Bundok,Mountain,bun-dok,Mataas ang bundok na iyon.,That mountain is tall.,
Bunganga,Mouth,bu-nga-nga,Malaki ang bunganga ng leon.,The lion's mouth is big.,
Bunot,Pull out,Boo-not,Bunot mo ang damo.,Pull out the grass.,
Bunso,Youngest,Boon-soh,Bunso siya sa pamilya.,He's the youngest in the family.,
Buntis,Pregnant,bun-tis,Buntis ang kanyang asawa.,His wife is pregnant.,
Buntot,Tail,Boon-tot,Mahaba ang buntot ng aso.,The dog's tail is long.,
Buo,Whole,Boo-oh,Buo pa ang plato.,The plate is still whole.,
Burador,Draft,Boo-rah-dor,Nasa mesa ang burador.,The draft is on the table.,
Buro,Pickled,Boo-roh,Gusto ko ng burong isda.,I like pickled fish.,
